========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-12-18 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-12-18 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2018-12-18 00:00  to 2018-12-18 00:15,0.000,,
2018-12-18 00:15  to 2018-12-18 00:30,0.000,,
2018-12-18 00:30  to 2018-12-18 00:45,0.000,,
2018-12-18 00:45  to 2018-12-18 01:00,0.000,,
2018-12-18 01:00  to 2018-12-18 01:15,0.000,,
2018-12-18 01:15  to 2018-12-18 01:30,0.000,,
2018-12-18 01:30  to 2018-12-18 01:45,0.000,,
2018-12-18 01:45  to 2018-12-18 02:00,0.000,,
2018-12-18 02:00  to 2018-12-18 02:15,0.000,,
2018-12-18 02:15  to 2018-12-18 02:30,0.000,,
2018-12-18 02:30  to 2018-12-18 02:45,0.000,,
2018-12-18 02:45  to 2018-12-18 03:00,0.000,,
2018-12-18 03:00  to 2018-12-18 03:15,0.000,,
2018-12-18 03:15  to 2018-12-18 03:30,0.000,,
2018-12-18 03:30  to 2018-12-18 03:45,0.000,,
2018-12-18 03:45  to 2018-12-18 04:00,0.000,,
2018-12-18 04:00  to 2018-12-18 04:15,0.000,,
2018-12-18 04:15  to 2018-12-18 04:30,0.000,,
2018-12-18 04:30  to 2018-12-18 04:45,0.000,,
2018-12-18 04:45  to 2018-12-18 05:00,0.000,,
2018-12-18 05:00  to 2018-12-18 05:15,0.000,,
2018-12-18 05:15  to 2018-12-18 05:30,0.000,,
2018-12-18 05:30  to 2018-12-18 05:45,0.000,,
2018-12-18 05:45  to 2018-12-18 06:00,0.000,,
2018-12-18 06:00  to 2018-12-18 06:15,0.000,,
2018-12-18 06:15  to 2018-12-18 06:30,0.000,,
2018-12-18 06:30  to 2018-12-18 06:45,0.000,,
2018-12-18 06:45  to 2018-12-18 07:00,0.000,,
2018-12-18 07:00  to 2018-12-18 07:15,0.000,,
2018-12-18 07:15  to 2018-12-18 07:30,0.000,,
2018-12-18 07:30  to 2018-12-18 07:45,0.000,,
2018-12-18 07:45  to 2018-12-18 08:00,0.000,,
2018-12-18 08:00  to 2018-12-18 08:15,0.000,,
2018-12-18 08:15  to 2018-12-18 08:30,0.000,,
2018-12-18 08:30  to 2018-12-18 08:45,0.062,,
2018-12-18 08:45  to 2018-12-18 09:00,0.140,,
2018-12-18 09:00  to 2018-12-18 09:15,0.152,,
2018-12-18 09:15  to 2018-12-18 09:30,0.225,,
2018-12-18 09:30  to 2018-12-18 09:45,0.264,,
2018-12-18 09:45  to 2018-12-18 10:00,0.288,,
2018-12-18 10:00  to 2018-12-18 10:15,0.335,,
2018-12-18 10:15  to 2018-12-18 10:30,0.371,,
2018-12-18 10:30  to 2018-12-18 10:45,0.377,,
2018-12-18 10:45  to 2018-12-18 11:00,0.276,,
2018-12-18 11:00  to 2018-12-18 11:15,0.327,,
2018-12-18 11:15  to 2018-12-18 11:30,0.359,,
2018-12-18 11:30  to 2018-12-18 11:45,0.316,,
2018-12-18 11:45  to 2018-12-18 12:00,0.314,,
2018-12-18 12:00  to 2018-12-18 12:15,0.278,,
2018-12-18 12:15  to 2018-12-18 12:30,0.242,,
2018-12-18 12:30  to 2018-12-18 12:45,0.182,,
2018-12-18 12:45  to 2018-12-18 13:00,0.201,,
2018-12-18 13:00  to 2018-12-18 13:15,0.054,,
2018-12-18 13:15  to 2018-12-18 13:30,0.000,,
2018-12-18 13:30  to 2018-12-18 13:45,0.094,,
2018-12-18 13:45  to 2018-12-18 14:00,0.000,,
2018-12-18 14:00  to 2018-12-18 14:15,0.005,,
2018-12-18 14:15  to 2018-12-18 14:30,0.044,,
