========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-09-29 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-09-29 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2019-09-29 00:00  to 2019-09-29 00:15,0.000,,
2019-09-29 00:15  to 2019-09-29 00:30,0.000,,
2019-09-29 00:30  to 2019-09-29 00:45,0.000,,
2019-09-29 00:45  to 2019-09-29 01:00,0.000,,
2019-09-29 01:00  to 2019-09-29 01:15,0.000,,
2019-09-29 01:15  to 2019-09-29 01:30,0.000,,
2019-09-29 01:30  to 2019-09-29 01:45,0.000,,
2019-09-29 01:45  to 2019-09-29 02:00,0.000,,
2019-09-29 02:00  to 2019-09-29 02:15,0.000,,
2019-09-29 02:15  to 2019-09-29 02:30,0.000,,
2019-09-29 02:30  to 2019-09-29 02:45,0.000,,
2019-09-29 02:45  to 2019-09-29 03:00,0.000,,
2019-09-29 03:00  to 2019-09-29 03:15,0.000,,
2019-09-29 03:15  to 2019-09-29 03:30,0.000,,
2019-09-29 03:30  to 2019-09-29 03:45,0.000,,
2019-09-29 03:45  to 2019-09-29 04:00,0.000,,
2019-09-29 04:00  to 2019-09-29 04:15,0.000,,
2019-09-29 04:15  to 2019-09-29 04:30,0.000,,
2019-09-29 04:30  to 2019-09-29 04:45,0.000,,
2019-09-29 04:45  to 2019-09-29 05:00,0.000,,
2019-09-29 05:00  to 2019-09-29 05:15,0.000,,
2019-09-29 05:15  to 2019-09-29 05:30,0.000,,
2019-09-29 05:30  to 2019-09-29 05:45,0.000,,
2019-09-29 05:45  to 2019-09-29 06:00,0.000,,
2019-09-29 06:00  to 2019-09-29 06:15,0.000,,
2019-09-29 06:15  to 2019-09-29 06:30,0.000,,
2019-09-29 06:30  to 2019-09-29 06:45,0.000,,
2019-09-29 06:45  to 2019-09-29 07:00,0.000,,
2019-09-29 07:00  to 2019-09-29 07:15,0.000,,
2019-09-29 07:15  to 2019-09-29 07:30,0.000,,
2019-09-29 07:30  to 2019-09-29 07:45,0.000,,
2019-09-29 07:45  to 2019-09-29 08:00,0.000,,
2019-09-29 08:00  to 2019-09-29 08:15,0.000,,
2019-09-29 08:15  to 2019-09-29 08:30,0.000,,
2019-09-29 08:30  to 2019-09-29 08:45,0.000,,
2019-09-29 08:45  to 2019-09-29 09:00,0.000,,
2019-09-29 09:00  to 2019-09-29 09:15,0.000,,
2019-09-29 09:15  to 2019-09-29 09:30,0.002,,
2019-09-29 09:30  to 2019-09-29 09:45,0.001,,
2019-09-29 09:45  to 2019-09-29 10:00,0.002,,
2019-09-29 10:00  to 2019-09-29 10:15,0.013,,
2019-09-29 10:15  to 2019-09-29 10:30,0.017,,
2019-09-29 10:30  to 2019-09-29 10:45,0.011,,
2019-09-29 10:45  to 2019-09-29 11:00,0.007,,
2019-09-29 11:00  to 2019-09-29 11:15,0.017,,
2019-09-29 11:15  to 2019-09-29 11:30,0.008,,
2019-09-29 11:30  to 2019-09-29 11:45,0.000,,
2019-09-29 11:45  to 2019-09-29 12:00,0.000,,
2019-09-29 12:00  to 2019-09-29 12:15,0.000,,
2019-09-29 12:15  to 2019-09-29 12:30,0.000,,
2019-09-29 12:30  to 2019-09-29 12:45,0.000,,
2019-09-29 12:45  to 2019-09-29 13:00,0.000,,
2019-09-29 13:00  to 2019-09-29 13:15,0.000,,
2019-09-29 13:15  to 2019-09-29 13:30,0.000,,
2019-09-29 13:30  to 2019-09-29 13:45,0.000,,
2019-09-29 13:45  to 2019-09-29 14:00,0.000,,
2019-09-29 14:00  to 2019-09-29 14:15,0.000,,
2019-09-29 14:15  to 2019-09-29 14:30,0.000,,
2019-09-29 14:30  to 2019-09-29 14:45,0.000,,
2019-09-29 14:45  to 2019-09-29 15:00,0.000,,
2019-09-29 15:00  to 2019-09-29 15:15,0.005,,
2019-09-29 15:15  to 2019-09-29 15:30,0.000,,
2019-09-29 15:30  to 2019-09-29 15:45,0.000,,
2019-09-29 15:45  to 2019-09-29 16:00,0.000,,
2019-09-29 16:00  to 2019-09-29 16:15,0.000,,
2019-09-29 16:15  to 2019-09-29 16:30,0.000,,
2019-09-29 16:30  to 2019-09-29 16:45,0.000,,
2019-09-29 16:45  to 2019-09-29 17:00,0.000,,
2019-09-29 17:00  to 2019-09-29 17:15,0.000,,
2019-09-29 17:15  to 2019-09-29 17:30,0.000,,
2019-09-29 17:30  to 2019-09-29 17:45,0.000,,
2019-09-29 17:45  to 2019-09-29 18:00,0.000,,
2019-09-29 18:00  to 2019-09-29 18:15,0.000,,
2019-09-29 18:15  to 2019-09-29 18:30,0.000,,
2019-09-29 18:30  to 2019-09-29 18:45,0.000,,
2019-09-29 18:45  to 2019-09-29 19:00,0.000,,
2019-09-29 19:00  to 2019-09-29 19:15,0.000,,
2019-09-29 19:15  to 2019-09-29 19:30,0.000,,
2019-09-29 19:30  to 2019-09-29 19:45,0.000,,
2019-09-29 19:45  to 2019-09-29 20:00,0.000,,
2019-09-29 20:00  to 2019-09-29 20:15,0.000,,
2019-09-29 20:15  to 2019-09-29 20:30,0.000,,
2019-09-29 20:30  to 2019-09-29 20:45,0.000,,
2019-09-29 20:45  to 2019-09-29 21:00,0.000,,
2019-09-29 21:00  to 2019-09-29 21:15,0.000,,
2019-09-29 21:15  to 2019-09-29 21:30,0.000,,
2019-09-29 21:30  to 2019-09-29 21:45,0.000,,
2019-09-29 21:45  to 2019-09-29 22:00,0.000,,
2019-09-29 22:00  to 2019-09-29 22:15,0.000,,
