========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-04-30 00:15 for 14 days,,,
========================================
Interval Blockdata for period starting:, 2018-04-30 00:15  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2018-04-30 00:15  to 2018-04-30 00:30,0.000,,
2018-04-30 00:30  to 2018-04-30 00:45,0.000,,
2018-04-30 00:45  to 2018-04-30 01:00,0.000,,
2018-04-30 01:00  to 2018-04-30 01:15,0.000,,
2018-04-30 01:15  to 2018-04-30 01:30,0.000,,
2018-04-30 01:30  to 2018-04-30 01:45,0.000,,
2018-04-30 01:45  to 2018-04-30 02:00,0.000,,
2018-04-30 02:00  to 2018-04-30 02:15,0.000,,
2018-04-30 02:15  to 2018-04-30 02:30,0.000,,
2018-04-30 02:30  to 2018-04-30 02:45,0.000,,
2018-04-30 02:45  to 2018-04-30 03:00,0.000,,
2018-04-30 03:00  to 2018-04-30 03:15,0.000,,
2018-04-30 03:15  to 2018-04-30 03:30,0.000,,
2018-04-30 03:30  to 2018-04-30 03:45,0.000,,
2018-04-30 03:45  to 2018-04-30 04:00,0.000,,
2018-04-30 04:00  to 2018-04-30 04:15,0.000,,
2018-04-30 04:15  to 2018-04-30 04:30,0.000,,
2018-04-30 04:30  to 2018-04-30 04:45,0.000,,
2018-04-30 04:45  to 2018-04-30 05:00,0.000,,
2018-04-30 05:00  to 2018-04-30 05:15,0.000,,
2018-04-30 05:15  to 2018-04-30 05:30,0.000,,
2018-04-30 05:30  to 2018-04-30 05:45,0.000,,
2018-04-30 05:45  to 2018-04-30 06:00,0.000,,
2018-04-30 06:00  to 2018-04-30 06:15,0.000,,
2018-04-30 06:15  to 2018-04-30 06:30,0.000,,
2018-04-30 06:30  to 2018-04-30 06:45,0.000,,
2018-04-30 06:45  to 2018-04-30 07:00,0.000,,
2018-04-30 07:00  to 2018-04-30 07:15,0.000,,
2018-04-30 07:15  to 2018-04-30 07:30,0.000,,
2018-04-30 07:30  to 2018-04-30 07:45,0.000,,
2018-04-30 07:45  to 2018-04-30 08:00,0.000,,
2018-04-30 08:00  to 2018-04-30 08:15,0.000,,
2018-04-30 08:15  to 2018-04-30 08:30,0.000,,
2018-04-30 08:30  to 2018-04-30 08:45,0.000,,
2018-04-30 08:45  to 2018-04-30 09:00,0.000,,
2018-04-30 09:00  to 2018-04-30 09:15,0.000,,
2018-04-30 09:15  to 2018-04-30 09:30,0.000,,
2018-04-30 09:30  to 2018-04-30 09:45,0.000,,
2018-04-30 09:45  to 2018-04-30 10:00,0.000,,
2018-04-30 10:00  to 2018-04-30 10:15,0.000,,
2018-04-30 10:15  to 2018-04-30 10:30,0.000,,
2018-04-30 10:30  to 2018-04-30 10:45,0.000,,
