========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-06-16 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-06-16 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2019-06-16 00:00  to 2019-06-16 00:15,0.000,,
2019-06-16 00:15  to 2019-06-16 00:30,0.000,,
2019-06-16 00:30  to 2019-06-16 00:45,0.000,,
2019-06-16 00:45  to 2019-06-16 01:00,0.000,,
2019-06-16 01:00  to 2019-06-16 01:15,0.000,,
2019-06-16 01:15  to 2019-06-16 01:30,0.000,,
2019-06-16 01:30  to 2019-06-16 01:45,0.000,,
2019-06-16 01:45  to 2019-06-16 02:00,0.000,,
2019-06-16 02:00  to 2019-06-16 02:15,0.000,,
2019-06-16 02:15  to 2019-06-16 02:30,0.000,,
2019-06-16 02:30  to 2019-06-16 02:45,0.000,,
2019-06-16 02:45  to 2019-06-16 03:00,0.000,,
2019-06-16 03:00  to 2019-06-16 03:15,0.000,,
2019-06-16 03:15  to 2019-06-16 03:30,0.000,,
2019-06-16 03:30  to 2019-06-16 03:45,0.000,,
2019-06-16 03:45  to 2019-06-16 04:00,0.000,,
2019-06-16 04:00  to 2019-06-16 04:15,0.000,,
2019-06-16 04:15  to 2019-06-16 04:30,0.000,,
2019-06-16 04:30  to 2019-06-16 04:45,0.000,,
2019-06-16 04:45  to 2019-06-16 05:00,0.000,,
2019-06-16 05:00  to 2019-06-16 05:15,0.000,,
2019-06-16 05:15  to 2019-06-16 05:30,0.000,,
2019-06-16 05:30  to 2019-06-16 05:45,0.000,,
2019-06-16 05:45  to 2019-06-16 06:00,0.000,,
2019-06-16 06:00  to 2019-06-16 06:15,0.000,,
2019-06-16 06:15  to 2019-06-16 06:30,0.000,,
2019-06-16 06:30  to 2019-06-16 06:45,0.004,,
2019-06-16 06:45  to 2019-06-16 07:00,0.005,,
2019-06-16 07:00  to 2019-06-16 07:15,0.010,,
2019-06-16 07:15  to 2019-06-16 07:30,0.007,,
2019-06-16 07:30  to 2019-06-16 07:45,0.002,,
2019-06-16 07:45  to 2019-06-16 08:00,0.000,,
2019-06-16 08:00  to 2019-06-16 08:15,0.011,,
2019-06-16 08:15  to 2019-06-16 08:30,0.017,,
2019-06-16 08:30  to 2019-06-16 08:45,0.027,,
2019-06-16 08:45  to 2019-06-16 09:00,0.039,,
2019-06-16 09:00  to 2019-06-16 09:15,0.100,,
2019-06-16 09:15  to 2019-06-16 09:30,0.103,,
2019-06-16 09:30  to 2019-06-16 09:45,0.125,,
2019-06-16 09:45  to 2019-06-16 10:00,0.074,,
2019-06-16 10:00  to 2019-06-16 10:15,0.104,,
2019-06-16 10:15  to 2019-06-16 10:30,0.168,,
2019-06-16 10:30  to 2019-06-16 10:45,0.199,,
2019-06-16 10:45  to 2019-06-16 11:00,0.206,,
