Where,1stD Diff,TotYd Diff,PassY Diff,RushY Diff,TO Diff,Outcome,,,,,,,,
H,MediumLow,MediumLow,MediumLow,MediumLow,MediumLow,L,,,,,,,,
A,High,MediumHigh,MediumHigh,MediumHigh,MediumLow,W,,,,,,,,
A,MediumLow,Medium,MediumHigh,MediumLow,MediumHigh,L,,,,,,,,
H,High,High,High,MediumHigh,High,W,,,,,,,,
A,MediumHigh,MediumHigh,Medium,High,Medium,W,,,,,,,,
H,MediumHigh,Medium,Medium,Medium,High,L,,,,,,,,
H,MediumLow,Medium,MediumLow,MediumHigh,High,L,,,,,,,,
A,High,MediumHigh,MediumHigh,Medium,MediumLow,W,,,,,,,,
A,MediumHigh,Medium,Medium,MediumLow,High,L,,,,,,,,
A,Medium,MediumLow,Medium,MediumLow,High,L,,,,,,,,
H,High,High,MediumHigh,High,MediumHigh,W,,,,,,,,
H,MediumLow,MediumLow,MediumLow,MediumLow,Medium,L,,,,,,,,
A,Medium,MediumLow,MediumLow,MediumLow,MediumHigh,L,,,,,,,,
H,MediumLow,Medium,Medium,MediumHigh,High,L,,,,,,,,
H,High,High,Medium,High,MediumHigh,W,,,,,,,,
H,Medium,High,MediumHigh,High,High,W,,,,,,,,
H,MediumHigh,MediumHigh,Medium,MediumHigh,High,L,,,,,,,,
H,Medium,Medium,Medium,Medium,High,L,,,,,,,,
A,MediumHigh,MediumHigh,High,Medium,MediumHigh,W,,,,,,,,
A,MediumLow,MediumLow,MediumLow,MediumHigh,MediumLow,W,,,,,,,,
H,Medium,Medium,Medium,Medium,MediumHigh,W,,,,,,,,
A,MediumLow,Medium,MediumLow,MediumHigh,MediumLow,W,,,,,,,,
H,MediumLow,Medium,MediumLow,MediumHigh,MediumLow,W,,,,,,,,
A,MediumLow,MediumLow,MediumLow,MediumLow,High,L,,,,,,,,
H,MediumHigh,MediumHigh,Medium,MediumHigh,High,L,,,,,,,,
A,MediumHigh,MediumHigh,MediumHigh,MediumHigh,High,W,,,,,,,,
H,Medium,Medium,Medium,MediumHigh,MediumLow,W,,,,,,,,
H,Medium,Medium,MediumHigh,MediumLow,High,L,,,,,,,,
H,MediumHigh,High,MediumHigh,MediumHigh,MediumHigh,W,,,,,,,,
H,High,High,High,High,Medium,W,,,,,,,,
H,MediumHigh,High,MediumHigh,High,MediumLow,W,,,,,,,,
H,High,MediumHigh,MediumLow,High,MediumLow,W,,,,,,,,
H,MediumLow,MediumLow,MediumLow,MediumLow,MediumHigh,L,,,,,,,,
H,High,MediumHigh,MediumHigh,Medium,MediumHigh,W,,,,,,,,
A,MediumHigh,Medium,MediumHigh,Medium,Medium,L,,,,,,,,
H,MediumLow,Medium,High,MediumLow,MediumHigh,L,,,,,,,,
A,MediumLow,Medium,MediumHigh,MediumLow,High,L,,,,,,,,
A,MediumLow,MediumLow,Medium,MediumLow,High,L,,,,,,,,
H,Medium,Medium,MediumLow,MediumHigh,High,W,,,,,,,,
A,MediumLow,MediumLow,MediumLow,High,Medium,W,,,,,,,,
H,MediumHigh,High,High,MediumHigh,MediumHigh,W,,,,,,,,
A,High,High,MediumHigh,High,MediumLow,W,,,,,,,,
H,MediumLow,Medium,MediumHigh,MediumLow,High,W,,,,,,,,
A,Medium,MediumHigh,MediumHigh,MediumHigh,Medium,W,,,,,,,,
H,High,High,High,High,MediumHigh,W,,,,,,,,
H,Medium,MediumHigh,MediumHigh,MediumHigh,MediumLow,W,,,,,,,,
