Where,D,2,H,A
1stD Diff,C,-19,19,x
TotYd Diff,C,-443,443,x
PassY Diff,C,-293,293,x
RushY Diff,C,-263,263,x
TO Diff,C,-6,6,x
Outcome,D,2,W,L
