========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-05-30 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-05-30 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-05-30 00:00  to 2018-05-30 00:15,0.056,,
2018-05-30 00:15  to 2018-05-30 00:30,0.067,,
2018-05-30 00:30  to 2018-05-30 00:45,0.066,,
2018-05-30 00:45  to 2018-05-30 01:00,0.067,,
2018-05-30 01:00  to 2018-05-30 01:15,0.112,,
2018-05-30 01:15  to 2018-05-30 01:30,0.107,,
2018-05-30 01:30  to 2018-05-30 01:45,0.099,,
2018-05-30 01:45  to 2018-05-30 02:00,0.191,,
2018-05-30 02:00  to 2018-05-30 02:15,0.145,,
2018-05-30 02:15  to 2018-05-30 02:30,0.061,,
2018-05-30 02:30  to 2018-05-30 02:45,0.063,,
2018-05-30 02:45  to 2018-05-30 03:00,0.090,,
2018-05-30 03:00  to 2018-05-30 03:15,0.064,,
2018-05-30 03:15  to 2018-05-30 03:30,0.058,,
2018-05-30 03:30  to 2018-05-30 03:45,0.069,,
2018-05-30 03:45  to 2018-05-30 04:00,0.076,,
2018-05-30 04:00  to 2018-05-30 04:15,0.061,,
2018-05-30 04:15  to 2018-05-30 04:30,0.060,,
2018-05-30 04:30  to 2018-05-30 04:45,0.086,,
2018-05-30 04:45  to 2018-05-30 05:00,0.067,,
2018-05-30 05:00  to 2018-05-30 05:15,0.098,,
2018-05-30 05:15  to 2018-05-30 05:30,0.147,,
2018-05-30 05:30  to 2018-05-30 05:45,0.166,,
2018-05-30 05:45  to 2018-05-30 06:00,0.181,,
2018-05-30 06:00  to 2018-05-30 06:15,0.384,,
2018-05-30 06:15  to 2018-05-30 06:30,0.448,,
2018-05-30 06:30  to 2018-05-30 06:45,0.489,,
2018-05-30 06:45  to 2018-05-30 07:00,0.378,,
2018-05-30 07:00  to 2018-05-30 07:15,0.193,,
2018-05-30 07:15  to 2018-05-30 07:30,0.162,,
2018-05-30 07:30  to 2018-05-30 07:45,0.070,,
2018-05-30 07:45  to 2018-05-30 08:00,0.019,,
2018-05-30 08:00  to 2018-05-30 08:15,0.000,,
2018-05-30 08:15  to 2018-05-30 08:30,0.000,,
2018-05-30 08:30  to 2018-05-30 08:45,0.059,,
2018-05-30 08:45  to 2018-05-30 09:00,0.005,,
2018-05-30 09:00  to 2018-05-30 09:15,0.000,,
2018-05-30 09:15  to 2018-05-30 09:30,0.000,,
2018-05-30 09:30  to 2018-05-30 09:45,0.003,,
2018-05-30 09:45  to 2018-05-30 10:00,0.000,,
2018-05-30 10:00  to 2018-05-30 10:15,0.000,,
2018-05-30 10:15  to 2018-05-30 10:30,0.040,,
