========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-06-29 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-06-29 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-06-29 00:00  to 2018-06-29 00:15,0.183,,
2018-06-29 00:15  to 2018-06-29 00:30,0.887,,
2018-06-29 00:30  to 2018-06-29 00:45,1.076,,
2018-06-29 00:45  to 2018-06-29 01:00,1.077,,
2018-06-29 01:00  to 2018-06-29 01:15,1.076,,
2018-06-29 01:15  to 2018-06-29 01:30,0.519,,
2018-06-29 01:30  to 2018-06-29 01:45,0.099,,
2018-06-29 01:45  to 2018-06-29 02:00,0.117,,
2018-06-29 02:00  to 2018-06-29 02:15,0.282,,
2018-06-29 02:15  to 2018-06-29 02:30,0.313,,
2018-06-29 02:30  to 2018-06-29 02:45,0.221,,
2018-06-29 02:45  to 2018-06-29 03:00,0.197,,
2018-06-29 03:00  to 2018-06-29 03:15,0.291,,
2018-06-29 03:15  to 2018-06-29 03:30,0.351,,
2018-06-29 03:30  to 2018-06-29 03:45,0.298,,
2018-06-29 03:45  to 2018-06-29 04:00,0.182,,
2018-06-29 04:00  to 2018-06-29 04:15,0.788,,
2018-06-29 04:15  to 2018-06-29 04:30,1.160,,
2018-06-29 04:30  to 2018-06-29 04:45,1.191,,
2018-06-29 04:45  to 2018-06-29 05:00,1.103,,
2018-06-29 05:00  to 2018-06-29 05:15,0.259,,
2018-06-29 05:15  to 2018-06-29 05:30,0.295,,
2018-06-29 05:30  to 2018-06-29 05:45,0.192,,
2018-06-29 05:45  to 2018-06-29 06:00,0.189,,
2018-06-29 06:00  to 2018-06-29 06:15,0.366,,
2018-06-29 06:15  to 2018-06-29 06:30,0.144,,
2018-06-29 06:30  to 2018-06-29 06:45,0.017,,
2018-06-29 06:45  to 2018-06-29 07:00,0.000,,
2018-06-29 07:00  to 2018-06-29 07:15,0.000,,
2018-06-29 07:15  to 2018-06-29 07:30,0.000,,
2018-06-29 07:30  to 2018-06-29 07:45,0.000,,
2018-06-29 07:45  to 2018-06-29 08:00,0.096,,
2018-06-29 08:00  to 2018-06-29 08:15,1.001,,
2018-06-29 08:15  to 2018-06-29 08:30,1.010,,
2018-06-29 08:30  to 2018-06-29 08:45,1.126,,
2018-06-29 08:45  to 2018-06-29 09:00,0.964,,
2018-06-29 09:00  to 2018-06-29 09:15,0.789,,
2018-06-29 09:15  to 2018-06-29 09:30,0.810,,
2018-06-29 09:30  to 2018-06-29 09:45,0.736,,
2018-06-29 09:45  to 2018-06-29 10:00,0.700,,
2018-06-29 10:00  to 2018-06-29 10:15,0.870,,
2018-06-29 10:15  to 2018-06-29 10:30,0.787,,
2018-06-29 10:30  to 2018-06-29 10:45,0.628,,
2018-06-29 10:45  to 2018-06-29 11:00,0.000,,
2018-06-29 11:00  to 2018-06-29 11:15,0.000,,
2018-06-29 11:15  to 2018-06-29 11:30,0.000,,
2018-06-29 11:30  to 2018-06-29 11:45,0.000,,
2018-06-29 11:45  to 2018-06-29 12:00,0.000,,
2018-06-29 12:00  to 2018-06-29 12:15,0.376,,
2018-06-29 12:15  to 2018-06-29 12:30,0.860,,
2018-06-29 12:30  to 2018-06-29 12:45,1.075,,
2018-06-29 12:45  to 2018-06-29 13:00,0.974,,
