========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-08-25 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-08-25 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2019-08-25 00:00  to 2019-08-25 00:15,0.069,,
2019-08-25 00:15  to 2019-08-25 00:30,0.078,,
2019-08-25 00:30  to 2019-08-25 00:45,0.202,,
2019-08-25 00:45  to 2019-08-25 01:00,0.206,,
2019-08-25 01:00  to 2019-08-25 01:15,0.083,,
2019-08-25 01:15  to 2019-08-25 01:30,0.068,,
2019-08-25 01:30  to 2019-08-25 01:45,0.058,,
2019-08-25 01:45  to 2019-08-25 02:00,0.203,,
2019-08-25 02:00  to 2019-08-25 02:15,0.062,,
2019-08-25 02:15  to 2019-08-25 02:30,0.053,,
2019-08-25 02:30  to 2019-08-25 02:45,0.200,,
2019-08-25 02:45  to 2019-08-25 03:00,0.321,,
2019-08-25 03:00  to 2019-08-25 03:15,0.188,,
2019-08-25 03:15  to 2019-08-25 03:30,0.220,,
2019-08-25 03:30  to 2019-08-25 03:45,0.139,,
2019-08-25 03:45  to 2019-08-25 04:00,0.041,,
2019-08-25 04:00  to 2019-08-25 04:15,0.055,,
2019-08-25 04:15  to 2019-08-25 04:30,0.173,,
2019-08-25 04:30  to 2019-08-25 04:45,0.031,,
2019-08-25 04:45  to 2019-08-25 05:00,0.039,,
2019-08-25 05:00  to 2019-08-25 05:15,0.054,,
2019-08-25 05:15  to 2019-08-25 05:30,0.035,,
2019-08-25 05:30  to 2019-08-25 05:45,0.052,,
2019-08-25 05:45  to 2019-08-25 06:00,0.087,,
2019-08-25 06:00  to 2019-08-25 06:15,0.076,,
2019-08-25 06:15  to 2019-08-25 06:30,0.179,,
2019-08-25 06:30  to 2019-08-25 06:45,0.404,,
2019-08-25 06:45  to 2019-08-25 07:00,0.281,,
2019-08-25 07:00  to 2019-08-25 07:15,0.326,,
2019-08-25 07:15  to 2019-08-25 07:30,0.283,,
2019-08-25 07:30  to 2019-08-25 07:45,0.236,,
2019-08-25 07:45  to 2019-08-25 08:00,0.010,,
2019-08-25 08:00  to 2019-08-25 08:15,0.000,,
2019-08-25 08:15  to 2019-08-25 08:30,0.000,,
2019-08-25 08:30  to 2019-08-25 08:45,0.000,,
2019-08-25 08:45  to 2019-08-25 09:00,0.000,,
2019-08-25 09:00  to 2019-08-25 09:15,0.000,,
2019-08-25 09:15  to 2019-08-25 09:30,0.000,,
2019-08-25 09:30  to 2019-08-25 09:45,0.000,,
2019-08-25 09:45  to 2019-08-25 10:00,0.000,,
2019-08-25 10:00  to 2019-08-25 10:15,0.000,,
2019-08-25 10:15  to 2019-08-25 10:30,0.472,,
2019-08-25 10:30  to 2019-08-25 10:45,0.538,,
2019-08-25 10:45  to 2019-08-25 11:00,0.498,,
2019-08-25 11:00  to 2019-08-25 11:15,0.034,,
2019-08-25 11:15  to 2019-08-25 11:30,0.013,,
2019-08-25 11:30  to 2019-08-25 11:45,0.148,,
2019-08-25 11:45  to 2019-08-25 12:00,0.081,,
2019-08-25 12:00  to 2019-08-25 12:15,0.007,,
2019-08-25 12:15  to 2019-08-25 12:30,0.019,,
2019-08-25 12:30  to 2019-08-25 12:45,0.010,,
