========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-09-27 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-09-27 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-09-27 00:00  to 2018-09-27 00:15,0.063,,
2018-09-27 00:15  to 2018-09-27 00:30,0.034,,
2018-09-27 00:30  to 2018-09-27 00:45,0.032,,
2018-09-27 00:45  to 2018-09-27 01:00,0.041,,
2018-09-27 01:00  to 2018-09-27 01:15,0.077,,
2018-09-27 01:15  to 2018-09-27 01:30,0.055,,
2018-09-27 01:30  to 2018-09-27 01:45,0.054,,
2018-09-27 01:45  to 2018-09-27 02:00,0.065,,
2018-09-27 02:00  to 2018-09-27 02:15,0.073,,
2018-09-27 02:15  to 2018-09-27 02:30,0.079,,
2018-09-27 02:30  to 2018-09-27 02:45,0.056,,
2018-09-27 02:45  to 2018-09-27 03:00,0.066,,
2018-09-27 03:00  to 2018-09-27 03:15,0.061,,
2018-09-27 03:15  to 2018-09-27 03:30,0.027,,
2018-09-27 03:30  to 2018-09-27 03:45,0.030,,
2018-09-27 03:45  to 2018-09-27 04:00,0.049,,
2018-09-27 04:00  to 2018-09-27 04:15,0.037,,
2018-09-27 04:15  to 2018-09-27 04:30,0.054,,
2018-09-27 04:30  to 2018-09-27 04:45,0.031,,
2018-09-27 04:45  to 2018-09-27 05:00,0.033,,
2018-09-27 05:00  to 2018-09-27 05:15,0.049,,
2018-09-27 05:15  to 2018-09-27 05:30,0.045,,
2018-09-27 05:30  to 2018-09-27 05:45,0.034,,
2018-09-27 05:45  to 2018-09-27 06:00,0.033,,
2018-09-27 06:00  to 2018-09-27 06:15,0.051,,
2018-09-27 06:15  to 2018-09-27 06:30,0.306,,
2018-09-27 06:30  to 2018-09-27 06:45,0.178,,
2018-09-27 06:45  to 2018-09-27 07:00,0.102,,
2018-09-27 07:00  to 2018-09-27 07:15,0.065,,
2018-09-27 07:15  to 2018-09-27 07:30,0.020,,
2018-09-27 07:30  to 2018-09-27 07:45,0.000,,
2018-09-27 07:45  to 2018-09-27 08:00,0.002,,
2018-09-27 08:00  to 2018-09-27 08:15,0.000,,
2018-09-27 08:15  to 2018-09-27 08:30,0.000,,
2018-09-27 08:30  to 2018-09-27 08:45,0.000,,
2018-09-27 08:45  to 2018-09-27 09:00,0.000,,
2018-09-27 09:00  to 2018-09-27 09:15,0.000,,
2018-09-27 09:15  to 2018-09-27 09:30,0.000,,
2018-09-27 09:30  to 2018-09-27 09:45,0.000,,
2018-09-27 09:45  to 2018-09-27 10:00,0.000,,
2018-09-27 10:00  to 2018-09-27 10:15,0.000,,
2018-09-27 10:15  to 2018-09-27 10:30,0.000,,
2018-09-27 10:30  to 2018-09-27 10:45,0.000,,
2018-09-27 10:45  to 2018-09-27 11:00,0.000,,
2018-09-27 11:00  to 2018-09-27 11:15,0.000,,
2018-09-27 11:15  to 2018-09-27 11:30,0.000,,
2018-09-27 11:30  to 2018-09-27 11:45,0.000,,
2018-09-27 11:45  to 2018-09-27 12:00,0.000,,
2018-09-27 12:00  to 2018-09-27 12:15,0.000,,
2018-09-27 12:15  to 2018-09-27 12:30,0.000,,
2018-09-27 12:30  to 2018-09-27 12:45,0.000,,
2018-09-27 12:45  to 2018-09-27 13:00,0.000,,
2018-09-27 13:00  to 2018-09-27 13:15,0.000,,
2018-09-27 13:15  to 2018-09-27 13:30,0.000,,
2018-09-27 13:30  to 2018-09-27 13:45,0.000,,
2018-09-27 13:45  to 2018-09-27 14:00,0.000,,
2018-09-27 14:00  to 2018-09-27 14:15,0.000,,
2018-09-27 14:15  to 2018-09-27 14:30,0.000,,
2018-09-27 14:30  to 2018-09-27 14:45,0.011,,
2018-09-27 14:45  to 2018-09-27 15:00,0.121,,
2018-09-27 15:00  to 2018-09-27 15:15,0.081,,
