========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-08-28 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-08-28 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-08-28 00:00  to 2018-08-28 00:15,0.256,,
2018-08-28 00:15  to 2018-08-28 00:30,0.292,,
2018-08-28 00:30  to 2018-08-28 00:45,0.182,,
2018-08-28 00:45  to 2018-08-28 01:00,0.142,,
2018-08-28 01:00  to 2018-08-28 01:15,0.117,,
2018-08-28 01:15  to 2018-08-28 01:30,0.147,,
2018-08-28 01:30  to 2018-08-28 01:45,0.162,,
2018-08-28 01:45  to 2018-08-28 02:00,0.067,,
2018-08-28 02:00  to 2018-08-28 02:15,0.090,,
2018-08-28 02:15  to 2018-08-28 02:30,0.062,,
2018-08-28 02:30  to 2018-08-28 02:45,0.066,,
2018-08-28 02:45  to 2018-08-28 03:00,0.085,,
2018-08-28 03:00  to 2018-08-28 03:15,0.057,,
2018-08-28 03:15  to 2018-08-28 03:30,0.067,,
2018-08-28 03:30  to 2018-08-28 03:45,0.841,,
2018-08-28 03:45  to 2018-08-28 04:00,1.052,,
2018-08-28 04:00  to 2018-08-28 04:15,1.058,,
2018-08-28 04:15  to 2018-08-28 04:30,1.042,,
2018-08-28 04:30  to 2018-08-28 04:45,0.218,,
2018-08-28 04:45  to 2018-08-28 05:00,0.124,,
2018-08-28 05:00  to 2018-08-28 05:15,0.062,,
2018-08-28 05:15  to 2018-08-28 05:30,0.041,,
2018-08-28 05:30  to 2018-08-28 05:45,0.063,,
2018-08-28 05:45  to 2018-08-28 06:00,0.095,,
2018-08-28 06:00  to 2018-08-28 06:15,0.042,,
2018-08-28 06:15  to 2018-08-28 06:30,0.028,,
2018-08-28 06:30  to 2018-08-28 06:45,0.002,,
2018-08-28 06:45  to 2018-08-28 07:00,0.000,,
2018-08-28 07:00  to 2018-08-28 07:15,0.015,,
2018-08-28 07:15  to 2018-08-28 07:30,0.052,,
2018-08-28 07:30  to 2018-08-28 07:45,0.000,,
2018-08-28 07:45  to 2018-08-28 08:00,0.000,,
2018-08-28 08:00  to 2018-08-28 08:15,0.000,,
2018-08-28 08:15  to 2018-08-28 08:30,0.000,,
2018-08-28 08:30  to 2018-08-28 08:45,0.063,,
2018-08-28 08:45  to 2018-08-28 09:00,0.000,,
2018-08-28 09:00  to 2018-08-28 09:15,0.000,,
2018-08-28 09:15  to 2018-08-28 09:30,0.000,,
2018-08-28 09:30  to 2018-08-28 09:45,0.000,,
2018-08-28 09:45  to 2018-08-28 10:00,0.000,,
2018-08-28 10:00  to 2018-08-28 10:15,0.015,,
2018-08-28 10:15  to 2018-08-28 10:30,0.162,,
2018-08-28 10:30  to 2018-08-28 10:45,0.214,,
2018-08-28 10:45  to 2018-08-28 11:00,0.054,,
2018-08-28 11:00  to 2018-08-28 11:15,0.028,,
2018-08-28 11:15  to 2018-08-28 11:30,0.000,,
2018-08-28 11:30  to 2018-08-28 11:45,0.070,,
2018-08-28 11:45  to 2018-08-28 12:00,0.004,,
2018-08-28 12:00  to 2018-08-28 12:15,0.008,,
2018-08-28 12:15  to 2018-08-28 12:30,0.039,,
2018-08-28 12:30  to 2018-08-28 12:45,0.163,,
2018-08-28 12:45  to 2018-08-28 13:00,1.156,,
2018-08-28 13:00  to 2018-08-28 13:15,1.195,,
2018-08-28 13:15  to 2018-08-28 13:30,1.132,,
2018-08-28 13:30  to 2018-08-28 13:45,0.991,,
2018-08-28 13:45  to 2018-08-28 14:00,1.072,,
2018-08-28 14:00  to 2018-08-28 14:15,0.383,,
2018-08-28 14:15  to 2018-08-28 14:30,0.077,,
2018-08-28 14:30  to 2018-08-28 14:45,0.089,,
2018-08-28 14:45  to 2018-08-28 15:00,0.100,,
2018-08-28 15:00  to 2018-08-28 15:15,0.177,,
2018-08-28 15:15  to 2018-08-28 15:30,0.054,,
2018-08-28 15:30  to 2018-08-28 15:45,0.244,,
2018-08-28 15:45  to 2018-08-28 16:00,0.717,,
2018-08-28 16:00  to 2018-08-28 16:15,0.752,,
2018-08-28 16:15  to 2018-08-28 16:30,0.393,,
2018-08-28 16:30  to 2018-08-28 16:45,0.157,,
2018-08-28 16:45  to 2018-08-28 17:00,0.141,,
2018-08-28 17:00  to 2018-08-28 17:15,0.186,,
2018-08-28 17:15  to 2018-08-28 17:30,0.148,,
2018-08-28 17:30  to 2018-08-28 17:45,0.308,,
2018-08-28 17:45  to 2018-08-28 18:00,0.382,,
2018-08-28 18:00  to 2018-08-28 18:15,0.209,,
2018-08-28 18:15  to 2018-08-28 18:30,0.222,,
2018-08-28 18:30  to 2018-08-28 18:45,0.349,,
2018-08-28 18:45  to 2018-08-28 19:00,0.340,,
2018-08-28 19:00  to 2018-08-28 19:15,0.688,,
2018-08-28 19:15  to 2018-08-28 19:30,0.563,,
2018-08-28 19:30  to 2018-08-28 19:45,0.425,,
2018-08-28 19:45  to 2018-08-28 20:00,0.190,,
2018-08-28 20:00  to 2018-08-28 20:15,0.161,,
2018-08-28 20:15  to 2018-08-28 20:30,0.156,,
2018-08-28 20:30  to 2018-08-28 20:45,0.154,,
2018-08-28 20:45  to 2018-08-28 21:00,0.064,,
2018-08-28 21:00  to 2018-08-28 21:15,0.083,,
2018-08-28 21:15  to 2018-08-28 21:30,0.070,,
2018-08-28 21:30  to 2018-08-28 21:45,0.063,,
2018-08-28 21:45  to 2018-08-28 22:00,0.088,,
2018-08-28 22:00  to 2018-08-28 22:15,0.060,,
2018-08-28 22:15  to 2018-08-28 22:30,0.061,,
2018-08-28 22:30  to 2018-08-28 22:45,0.082,,
2018-08-28 22:45  to 2018-08-28 23:00,0.058,,
2018-08-28 23:00  to 2018-08-28 23:15,0.205,,
2018-08-28 23:15  to 2018-08-28 23:30,0.105,,
2018-08-28 23:30  to 2018-08-28 23:45,0.072,,
2018-08-28 23:45  to 2018-08-29 00:00,0.078,,

========================================
Interval Blockdata for period starting:, 2018-08-29 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-08-29 00:00  to 2018-08-29 00:15,0.099,,
2018-08-29 00:15  to 2018-08-29 00:30,0.070,,
2018-08-29 00:30  to 2018-08-29 00:45,0.077,,
2018-08-29 00:45  to 2018-08-29 01:00,0.098,,
2018-08-29 01:00  to 2018-08-29 01:15,0.072,,
2018-08-29 01:15  to 2018-08-29 01:30,0.079,,
2018-08-29 01:30  to 2018-08-29 01:45,0.150,,
2018-08-29 01:45  to 2018-08-29 02:00,0.129,,
2018-08-29 02:00  to 2018-08-29 02:15,0.053,,
2018-08-29 02:15  to 2018-08-29 02:30,0.080,,
2018-08-29 02:30  to 2018-08-29 02:45,0.052,,
2018-08-29 02:45  to 2018-08-29 03:00,0.051,,
2018-08-29 03:00  to 2018-08-29 03:15,0.054,,
2018-08-29 03:15  to 2018-08-29 03:30,0.038,,
2018-08-29 03:30  to 2018-08-29 03:45,0.033,,
2018-08-29 03:45  to 2018-08-29 04:00,0.054,,
2018-08-29 04:00  to 2018-08-29 04:15,0.053,,
2018-08-29 04:15  to 2018-08-29 04:30,0.183,,
2018-08-29 04:30  to 2018-08-29 04:45,0.064,,
2018-08-29 04:45  to 2018-08-29 05:00,0.077,,
2018-08-29 05:00  to 2018-08-29 05:15,0.056,,
2018-08-29 05:15  to 2018-08-29 05:30,0.060,,
2018-08-29 05:30  to 2018-08-29 05:45,0.192,,
2018-08-29 05:45  to 2018-08-29 06:00,0.198,,
2018-08-29 06:00  to 2018-08-29 06:15,0.213,,
2018-08-29 06:15  to 2018-08-29 06:30,0.487,,
2018-08-29 06:30  to 2018-08-29 06:45,0.446,,
2018-08-29 06:45  to 2018-08-29 07:00,0.372,,
2018-08-29 07:00  to 2018-08-29 07:15,0.139,,
2018-08-29 07:15  to 2018-08-29 07:30,0.130,,
2018-08-29 07:30  to 2018-08-29 07:45,0.001,,
2018-08-29 07:45  to 2018-08-29 08:00,0.006,,
2018-08-29 08:00  to 2018-08-29 08:15,0.000,,
2018-08-29 08:15  to 2018-08-29 08:30,0.042,,
2018-08-29 08:30  to 2018-08-29 08:45,0.006,,
2018-08-29 08:45  to 2018-08-29 09:00,0.000,,
2018-08-29 09:00  to 2018-08-29 09:15,0.000,,
2018-08-29 09:15  to 2018-08-29 09:30,0.000,,
2018-08-29 09:30  to 2018-08-29 09:45,0.001,,
2018-08-29 09:45  to 2018-08-29 10:00,0.003,,
2018-08-29 10:00  to 2018-08-29 10:15,0.001,,
2018-08-29 10:15  to 2018-08-29 10:30,0.000,,
2018-08-29 10:30  to 2018-08-29 10:45,0.000,,
2018-08-29 10:45  to 2018-08-29 11:00,0.000,,
2018-08-29 11:00  to 2018-08-29 11:15,0.000,,
2018-08-29 11:15  to 2018-08-29 11:30,0.000,,
2018-08-29 11:30  to 2018-08-29 11:45,0.000,,
2018-08-29 11:45  to 2018-08-29 12:00,0.000,,
2018-08-29 12:00  to 2018-08-29 12:15,0.000,,
2018-08-29 12:15  to 2018-08-29 12:30,0.000,,
2018-08-29 12:30  to 2018-08-29 12:45,0.000,,
2018-08-29 12:45  to 2018-08-29 13:00,0.000,,
2018-08-29 13:00  to 2018-08-29 13:15,0.000,,
2018-08-29 13:15  to 2018-08-29 13:30,0.000,,
2018-08-29 13:30  to 2018-08-29 13:45,0.000,,
2018-08-29 13:45  to 2018-08-29 14:00,0.000,,
2018-08-29 14:00  to 2018-08-29 14:15,0.000,,
2018-08-29 14:15  to 2018-08-29 14:30,0.000,,
2018-08-29 14:30  to 2018-08-29 14:45,0.000,,
2018-08-29 14:45  to 2018-08-29 15:00,0.000,,
2018-08-29 15:00  to 2018-08-29 15:15,0.000,,
2018-08-29 15:15  to 2018-08-29 15:30,0.000,,
2018-08-29 15:30  to 2018-08-29 15:45,0.000,,
2018-08-29 15:45  to 2018-08-29 16:00,0.003,,
2018-08-29 16:00  to 2018-08-29 16:15,0.000,,
2018-08-29 16:15  to 2018-08-29 16:30,0.000,,
2018-08-29 16:30  to 2018-08-29 16:45,0.428,,
2018-08-29 16:45  to 2018-08-29 17:00,0.044,,
2018-08-29 17:00  to 2018-08-29 17:15,0.058,,
2018-08-29 17:15  to 2018-08-29 17:30,0.063,,
2018-08-29 17:30  to 2018-08-29 17:45,0.065,,
2018-08-29 17:45  to 2018-08-29 18:00,0.139,,
2018-08-29 18:00  to 2018-08-29 18:15,0.101,,
2018-08-29 18:15  to 2018-08-29 18:30,0.051,,
2018-08-29 18:30  to 2018-08-29 18:45,0.049,,
2018-08-29 18:45  to 2018-08-29 19:00,0.070,,
2018-08-29 19:00  to 2018-08-29 19:15,0.046,,
2018-08-29 19:15  to 2018-08-29 19:30,0.070,,
2018-08-29 19:30  to 2018-08-29 19:45,0.049,,
2018-08-29 19:45  to 2018-08-29 20:00,0.061,,
2018-08-29 20:00  to 2018-08-29 20:15,0.062,,
2018-08-29 20:15  to 2018-08-29 20:30,0.147,,
2018-08-29 20:30  to 2018-08-29 20:45,0.190,,
2018-08-29 20:45  to 2018-08-29 21:00,0.139,,
2018-08-29 21:00  to 2018-08-29 21:15,0.153,,
2018-08-29 21:15  to 2018-08-29 21:30,0.132,,
2018-08-29 21:30  to 2018-08-29 21:45,0.075,,
2018-08-29 21:45  to 2018-08-29 22:00,0.092,,
2018-08-29 22:00  to 2018-08-29 22:15,0.078,,
2018-08-29 22:15  to 2018-08-29 22:30,0.071,,
2018-08-29 22:30  to 2018-08-29 22:45,0.092,,
2018-08-29 22:45  to 2018-08-29 23:00,0.077,,
2018-08-29 23:00  to 2018-08-29 23:15,0.069,,
2018-08-29 23:15  to 2018-08-29 23:30,0.088,,
2018-08-29 23:30  to 2018-08-29 23:45,0.061,,
2018-08-29 23:45  to 2018-08-30 00:00,0.048,,

========================================
Interval Blockdata for period starting:, 2018-08-30 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-08-30 00:00  to 2018-08-30 00:15,0.169,,
2018-08-30 00:15  to 2018-08-30 00:30,0.072,,
2018-08-30 00:30  to 2018-08-30 00:45,0.152,,
2018-08-30 00:45  to 2018-08-30 01:00,0.073,,
2018-08-30 01:00  to 2018-08-30 01:15,0.074,,
2018-08-30 01:15  to 2018-08-30 01:30,0.057,,
2018-08-30 01:30  to 2018-08-30 01:45,0.046,,
2018-08-30 01:45  to 2018-08-30 02:00,0.067,,
2018-08-30 02:00  to 2018-08-30 02:15,0.054,,
2018-08-30 02:15  to 2018-08-30 02:30,0.046,,
2018-08-30 02:30  to 2018-08-30 02:45,0.074,,
2018-08-30 02:45  to 2018-08-30 03:00,0.084,,
2018-08-30 03:00  to 2018-08-30 03:15,0.133,,
2018-08-30 03:15  to 2018-08-30 03:30,0.100,,
2018-08-30 03:30  to 2018-08-30 03:45,0.095,,
2018-08-30 03:45  to 2018-08-30 04:00,0.068,,
2018-08-30 04:00  to 2018-08-30 04:15,0.067,,
2018-08-30 04:15  to 2018-08-30 04:30,0.076,,
2018-08-30 04:30  to 2018-08-30 04:45,0.077,,
2018-08-30 04:45  to 2018-08-30 05:00,0.049,,
2018-08-30 05:00  to 2018-08-30 05:15,0.034,,
2018-08-30 05:15  to 2018-08-30 05:30,0.052,,
2018-08-30 05:30  to 2018-08-30 05:45,0.046,,
2018-08-30 05:45  to 2018-08-30 06:00,0.029,,
2018-08-30 06:00  to 2018-08-30 06:15,0.013,,
2018-08-30 06:15  to 2018-08-30 06:30,0.184,,
2018-08-30 06:30  to 2018-08-30 06:45,0.006,,
2018-08-30 06:45  to 2018-08-30 07:00,0.000,,
2018-08-30 07:00  to 2018-08-30 07:15,0.001,,
2018-08-30 07:15  to 2018-08-30 07:30,0.000,,
2018-08-30 07:30  to 2018-08-30 07:45,0.000,,
2018-08-30 07:45  to 2018-08-30 08:00,0.000,,
2018-08-30 08:00  to 2018-08-30 08:15,0.000,,
2018-08-30 08:15  to 2018-08-30 08:30,0.094,,
2018-08-30 08:30  to 2018-08-30 08:45,0.049,,
2018-08-30 08:45  to 2018-08-30 09:00,0.090,,
2018-08-30 09:00  to 2018-08-30 09:15,0.000,,
2018-08-30 09:15  to 2018-08-30 09:30,0.000,,
