========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-02-24 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-02-24 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2019-02-24 00:00  to 2019-02-24 00:15,0.159,,
2019-02-24 00:15  to 2019-02-24 00:30,0.164,,
2019-02-24 00:30  to 2019-02-24 00:45,0.157,,
2019-02-24 00:45  to 2019-02-24 01:00,0.176,,
2019-02-24 01:00  to 2019-02-24 01:15,0.173,,
2019-02-24 01:15  to 2019-02-24 01:30,0.174,,
2019-02-24 01:30  to 2019-02-24 01:45,0.173,,
2019-02-24 01:45  to 2019-02-24 02:00,0.149,,
2019-02-24 02:00  to 2019-02-24 02:15,0.169,,
2019-02-24 02:15  to 2019-02-24 02:30,0.324,,
2019-02-24 02:30  to 2019-02-24 02:45,0.215,,
2019-02-24 02:45  to 2019-02-24 03:00,0.213,,
2019-02-24 03:00  to 2019-02-24 03:15,0.279,,
2019-02-24 03:15  to 2019-02-24 03:30,0.217,,
2019-02-24 03:30  to 2019-02-24 03:45,0.182,,
2019-02-24 03:45  to 2019-02-24 04:00,0.179,,
2019-02-24 04:00  to 2019-02-24 04:15,0.126,,
2019-02-24 04:15  to 2019-02-24 04:30,0.136,,
2019-02-24 04:30  to 2019-02-24 04:45,0.117,,
2019-02-24 04:45  to 2019-02-24 05:00,0.250,,
2019-02-24 05:00  to 2019-02-24 05:15,0.131,,
2019-02-24 05:15  to 2019-02-24 05:30,0.078,,
2019-02-24 05:30  to 2019-02-24 05:45,0.178,,
2019-02-24 05:45  to 2019-02-24 06:00,0.201,,
2019-02-24 06:00  to 2019-02-24 06:15,0.109,,
2019-02-24 06:15  to 2019-02-24 06:30,0.135,,
2019-02-24 06:30  to 2019-02-24 06:45,0.176,,
2019-02-24 06:45  to 2019-02-24 07:00,0.159,,
2019-02-24 07:00  to 2019-02-24 07:15,0.208,,
2019-02-24 07:15  to 2019-02-24 07:30,0.157,,
2019-02-24 07:30  to 2019-02-24 07:45,0.040,,
2019-02-24 07:45  to 2019-02-24 08:00,0.197,,
2019-02-24 08:00  to 2019-02-24 08:15,0.146,,
2019-02-24 08:15  to 2019-02-24 08:30,0.114,,
2019-02-24 08:30  to 2019-02-24 08:45,0.220,,
2019-02-24 08:45  to 2019-02-24 09:00,0.145,,
2019-02-24 09:00  to 2019-02-24 09:15,0.089,,
2019-02-24 09:15  to 2019-02-24 09:30,0.015,,
2019-02-24 09:30  to 2019-02-24 09:45,0.062,,
2019-02-24 09:45  to 2019-02-24 10:00,0.003,,
2019-02-24 10:00  to 2019-02-24 10:15,0.000,,
2019-02-24 10:15  to 2019-02-24 10:30,0.030,,
2019-02-24 10:30  to 2019-02-24 10:45,0.002,,
2019-02-24 10:45  to 2019-02-24 11:00,0.009,,
2019-02-24 11:00  to 2019-02-24 11:15,0.000,,
2019-02-24 11:15  to 2019-02-24 11:30,0.000,,
2019-02-24 11:30  to 2019-02-24 11:45,0.000,,
2019-02-24 11:45  to 2019-02-24 12:00,0.000,,
2019-02-24 12:00  to 2019-02-24 12:15,0.000,,
2019-02-24 12:15  to 2019-02-24 12:30,0.000,,
2019-02-24 12:30  to 2019-02-24 12:45,0.054,,
2019-02-24 12:45  to 2019-02-24 13:00,0.052,,
2019-02-24 13:00  to 2019-02-24 13:15,0.141,,
2019-02-24 13:15  to 2019-02-24 13:30,0.257,,
2019-02-24 13:30  to 2019-02-24 13:45,0.117,,
2019-02-24 13:45  to 2019-02-24 14:00,0.207,,
2019-02-24 14:00  to 2019-02-24 14:15,0.004,,
2019-02-24 14:15  to 2019-02-24 14:30,0.000,,
2019-02-24 14:30  to 2019-02-24 14:45,0.012,,
2019-02-24 14:45  to 2019-02-24 15:00,0.003,,
2019-02-24 15:00  to 2019-02-24 15:15,0.000,,
2019-02-24 15:15  to 2019-02-24 15:30,0.000,,
2019-02-24 15:30  to 2019-02-24 15:45,0.039,,
2019-02-24 15:45  to 2019-02-24 16:00,0.063,,
2019-02-24 16:00  to 2019-02-24 16:15,0.146,,
2019-02-24 16:15  to 2019-02-24 16:30,0.089,,
2019-02-24 16:30  to 2019-02-24 16:45,0.191,,
2019-02-24 16:45  to 2019-02-24 17:00,0.162,,
2019-02-24 17:00  to 2019-02-24 17:15,0.427,,
2019-02-24 17:15  to 2019-02-24 17:30,0.254,,
2019-02-24 17:30  to 2019-02-24 17:45,0.111,,
2019-02-24 17:45  to 2019-02-24 18:00,0.089,,
2019-02-24 18:00  to 2019-02-24 18:15,0.170,,
2019-02-24 18:15  to 2019-02-24 18:30,0.123,,
2019-02-24 18:30  to 2019-02-24 18:45,0.080,,
2019-02-24 18:45  to 2019-02-24 19:00,0.160,,
2019-02-24 19:00  to 2019-02-24 19:15,0.187,,
2019-02-24 19:15  to 2019-02-24 19:30,0.094,,
2019-02-24 19:30  to 2019-02-24 19:45,0.255,,
2019-02-24 19:45  to 2019-02-24 20:00,0.319,,
2019-02-24 20:00  to 2019-02-24 20:15,0.236,,
2019-02-24 20:15  to 2019-02-24 20:30,0.228,,
2019-02-24 20:30  to 2019-02-24 20:45,0.319,,
2019-02-24 20:45  to 2019-02-24 21:00,0.367,,
2019-02-24 21:00  to 2019-02-24 21:15,0.264,,
2019-02-24 21:15  to 2019-02-24 21:30,0.366,,
2019-02-24 21:30  to 2019-02-24 21:45,0.274,,
2019-02-24 21:45  to 2019-02-24 22:00,0.422,,
2019-02-24 22:00  to 2019-02-24 22:15,0.223,,
2019-02-24 22:15  to 2019-02-24 22:30,0.186,,
2019-02-24 22:30  to 2019-02-24 22:45,0.280,,
2019-02-24 22:45  to 2019-02-24 23:00,0.190,,
2019-02-24 23:00  to 2019-02-24 23:15,0.194,,
2019-02-24 23:15  to 2019-02-24 23:30,0.170,,
2019-02-24 23:30  to 2019-02-24 23:45,0.299,,
2019-02-24 23:45  to 2019-02-25 00:00,0.237,,

========================================
Interval Blockdata for period starting:, 2019-02-25 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2019-02-25 00:00  to 2019-02-25 00:15,0.146,,
2019-02-25 00:15  to 2019-02-25 00:30,0.218,,
2019-02-25 00:30  to 2019-02-25 00:45,0.322,,
2019-02-25 00:45  to 2019-02-25 01:00,0.166,,
2019-02-25 01:00  to 2019-02-25 01:15,0.151,,
2019-02-25 01:15  to 2019-02-25 01:30,0.209,,
2019-02-25 01:30  to 2019-02-25 01:45,0.303,,
2019-02-25 01:45  to 2019-02-25 02:00,0.232,,
2019-02-25 02:00  to 2019-02-25 02:15,0.153,,
2019-02-25 02:15  to 2019-02-25 02:30,0.256,,
2019-02-25 02:30  to 2019-02-25 02:45,0.301,,
2019-02-25 02:45  to 2019-02-25 03:00,0.191,,
2019-02-25 03:00  to 2019-02-25 03:15,0.278,,
2019-02-25 03:15  to 2019-02-25 03:30,0.399,,
2019-02-25 03:30  to 2019-02-25 03:45,0.301,,
2019-02-25 03:45  to 2019-02-25 04:00,0.217,,
2019-02-25 04:00  to 2019-02-25 04:15,0.276,,
2019-02-25 04:15  to 2019-02-25 04:30,0.279,,
2019-02-25 04:30  to 2019-02-25 04:45,0.167,,
2019-02-25 04:45  to 2019-02-25 05:00,0.211,,
2019-02-25 05:00  to 2019-02-25 05:15,0.263,,
2019-02-25 05:15  to 2019-02-25 05:30,0.163,,
2019-02-25 05:30  to 2019-02-25 05:45,0.248,,
2019-02-25 05:45  to 2019-02-25 06:00,0.205,,
2019-02-25 06:00  to 2019-02-25 06:15,0.213,,
2019-02-25 06:15  to 2019-02-25 06:30,0.275,,
2019-02-25 06:30  to 2019-02-25 06:45,0.120,,
2019-02-25 06:45  to 2019-02-25 07:00,0.256,,
2019-02-25 07:00  to 2019-02-25 07:15,0.176,,
2019-02-25 07:15  to 2019-02-25 07:30,0.303,,
2019-02-25 07:30  to 2019-02-25 07:45,0.285,,
2019-02-25 07:45  to 2019-02-25 08:00,0.310,,
2019-02-25 08:00  to 2019-02-25 08:15,0.215,,
2019-02-25 08:15  to 2019-02-25 08:30,0.249,,
2019-02-25 08:30  to 2019-02-25 08:45,0.140,,
2019-02-25 08:45  to 2019-02-25 09:00,0.234,,
2019-02-25 09:00  to 2019-02-25 09:15,0.064,,
2019-02-25 09:15  to 2019-02-25 09:30,0.133,,
2019-02-25 09:30  to 2019-02-25 09:45,0.239,,
2019-02-25 09:45  to 2019-02-25 10:00,0.389,,
2019-02-25 10:00  to 2019-02-25 10:15,0.282,,
2019-02-25 10:15  to 2019-02-25 10:30,0.331,,
2019-02-25 10:30  to 2019-02-25 10:45,0.390,,
2019-02-25 10:45  to 2019-02-25 11:00,0.072,,
2019-02-25 11:00  to 2019-02-25 11:15,0.121,,
2019-02-25 11:15  to 2019-02-25 11:30,0.009,,
2019-02-25 11:30  to 2019-02-25 11:45,0.034,,
2019-02-25 11:45  to 2019-02-25 12:00,0.000,,
2019-02-25 12:00  to 2019-02-25 12:15,0.000,,
2019-02-25 12:15  to 2019-02-25 12:30,0.000,,
2019-02-25 12:30  to 2019-02-25 12:45,0.000,,
2019-02-25 12:45  to 2019-02-25 13:00,0.000,,
2019-02-25 13:00  to 2019-02-25 13:15,0.000,,
2019-02-25 13:15  to 2019-02-25 13:30,0.000,,
2019-02-25 13:30  to 2019-02-25 13:45,0.000,,
2019-02-25 13:45  to 2019-02-25 14:00,0.000,,
2019-02-25 14:00  to 2019-02-25 14:15,0.000,,
2019-02-25 14:15  to 2019-02-25 14:30,0.000,,
2019-02-25 14:30  to 2019-02-25 14:45,0.000,,
2019-02-25 14:45  to 2019-02-25 15:00,0.000,,
2019-02-25 15:00  to 2019-02-25 15:15,0.000,,
2019-02-25 15:15  to 2019-02-25 15:30,0.000,,
2019-02-25 15:30  to 2019-02-25 15:45,0.000,,
2019-02-25 15:45  to 2019-02-25 16:00,0.016,,
2019-02-25 16:00  to 2019-02-25 16:15,0.020,,
2019-02-25 16:15  to 2019-02-25 16:30,0.033,,
2019-02-25 16:30  to 2019-02-25 16:45,0.182,,
2019-02-25 16:45  to 2019-02-25 17:00,0.201,,
2019-02-25 17:00  to 2019-02-25 17:15,0.460,,
2019-02-25 17:15  to 2019-02-25 17:30,0.351,,
2019-02-25 17:30  to 2019-02-25 17:45,0.188,,
2019-02-25 17:45  to 2019-02-25 18:00,0.239,,
2019-02-25 18:00  to 2019-02-25 18:15,0.094,,
2019-02-25 18:15  to 2019-02-25 18:30,0.258,,
2019-02-25 18:30  to 2019-02-25 18:45,0.502,,
2019-02-25 18:45  to 2019-02-25 19:00,0.561,,
2019-02-25 19:00  to 2019-02-25 19:15,0.320,,
2019-02-25 19:15  to 2019-02-25 19:30,0.326,,
2019-02-25 19:30  to 2019-02-25 19:45,0.195,,
2019-02-25 19:45  to 2019-02-25 20:00,0.253,,
2019-02-25 20:00  to 2019-02-25 20:15,0.284,,
2019-02-25 20:15  to 2019-02-25 20:30,0.289,,
2019-02-25 20:30  to 2019-02-25 20:45,0.191,,
2019-02-25 20:45  to 2019-02-25 21:00,0.112,,
2019-02-25 21:00  to 2019-02-25 21:15,0.260,,
2019-02-25 21:15  to 2019-02-25 21:30,0.255,,
2019-02-25 21:30  to 2019-02-25 21:45,0.109,,
2019-02-25 21:45  to 2019-02-25 22:00,0.279,,
2019-02-25 22:00  to 2019-02-25 22:15,0.377,,
2019-02-25 22:15  to 2019-02-25 22:30,0.142,,
2019-02-25 22:30  to 2019-02-25 22:45,0.337,,
2019-02-25 22:45  to 2019-02-25 23:00,0.315,,
2019-02-25 23:00  to 2019-02-25 23:15,0.196,,
