========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-07-14 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-07-14 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-07-14 00:00  to 2018-07-14 00:15,0.047,,
2018-07-14 00:15  to 2018-07-14 00:30,0.026,,
2018-07-14 00:30  to 2018-07-14 00:45,0.035,,
2018-07-14 00:45  to 2018-07-14 01:00,0.054,,
2018-07-14 01:00  to 2018-07-14 01:15,0.165,,
2018-07-14 01:15  to 2018-07-14 01:30,0.065,,
2018-07-14 01:30  to 2018-07-14 01:45,0.091,,
2018-07-14 01:45  to 2018-07-14 02:00,0.050,,
2018-07-14 02:00  to 2018-07-14 02:15,0.048,,
2018-07-14 02:15  to 2018-07-14 02:30,0.077,,
2018-07-14 02:30  to 2018-07-14 02:45,0.054,,
2018-07-14 02:45  to 2018-07-14 03:00,0.047,,
2018-07-14 03:00  to 2018-07-14 03:15,0.059,,
2018-07-14 03:15  to 2018-07-14 03:30,0.039,,
2018-07-14 03:30  to 2018-07-14 03:45,0.053,,
2018-07-14 03:45  to 2018-07-14 04:00,0.134,,
2018-07-14 04:00  to 2018-07-14 04:15,0.059,,
2018-07-14 04:15  to 2018-07-14 04:30,0.026,,
2018-07-14 04:30  to 2018-07-14 04:45,0.036,,
2018-07-14 04:45  to 2018-07-14 05:00,0.054,,
2018-07-14 05:00  to 2018-07-14 05:15,0.136,,
2018-07-14 05:15  to 2018-07-14 05:30,0.028,,
2018-07-14 05:30  to 2018-07-14 05:45,0.055,,
2018-07-14 05:45  to 2018-07-14 06:00,0.052,,
2018-07-14 06:00  to 2018-07-14 06:15,0.044,,
2018-07-14 06:15  to 2018-07-14 06:30,0.062,,
2018-07-14 06:30  to 2018-07-14 06:45,0.057,,
2018-07-14 06:45  to 2018-07-14 07:00,0.041,,
2018-07-14 07:00  to 2018-07-14 07:15,0.050,,
2018-07-14 07:15  to 2018-07-14 07:30,0.052,,
2018-07-14 07:30  to 2018-07-14 07:45,0.022,,
2018-07-14 07:45  to 2018-07-14 08:00,0.004,,
2018-07-14 08:00  to 2018-07-14 08:15,0.000,,
2018-07-14 08:15  to 2018-07-14 08:30,0.000,,
2018-07-14 08:30  to 2018-07-14 08:45,0.000,,
2018-07-14 08:45  to 2018-07-14 09:00,0.104,,
2018-07-14 09:00  to 2018-07-14 09:15,0.014,,
2018-07-14 09:15  to 2018-07-14 09:30,0.000,,
2018-07-14 09:30  to 2018-07-14 09:45,0.000,,
2018-07-14 09:45  to 2018-07-14 10:00,0.000,,
2018-07-14 10:00  to 2018-07-14 10:15,0.000,,
2018-07-14 10:15  to 2018-07-14 10:30,0.000,,
2018-07-14 10:30  to 2018-07-14 10:45,0.000,,
2018-07-14 10:45  to 2018-07-14 11:00,0.000,,
2018-07-14 11:00  to 2018-07-14 11:15,0.000,,
2018-07-14 11:15  to 2018-07-14 11:30,0.000,,
2018-07-14 11:30  to 2018-07-14 11:45,0.000,,
2018-07-14 11:45  to 2018-07-14 12:00,0.000,,
2018-07-14 12:00  to 2018-07-14 12:15,0.001,,
2018-07-14 12:15  to 2018-07-14 12:30,0.000,,
2018-07-14 12:30  to 2018-07-14 12:45,0.006,,
2018-07-14 12:45  to 2018-07-14 13:00,0.000,,
2018-07-14 13:00  to 2018-07-14 13:15,0.000,,
2018-07-14 13:15  to 2018-07-14 13:30,0.000,,
2018-07-14 13:30  to 2018-07-14 13:45,0.000,,
2018-07-14 13:45  to 2018-07-14 14:00,0.000,,
2018-07-14 14:00  to 2018-07-14 14:15,0.000,,
2018-07-14 14:15  to 2018-07-14 14:30,0.002,,
2018-07-14 14:30  to 2018-07-14 14:45,0.000,,
2018-07-14 14:45  to 2018-07-14 15:00,0.000,,
2018-07-14 15:00  to 2018-07-14 15:15,0.000,,
2018-07-14 15:15  to 2018-07-14 15:30,0.000,,
2018-07-14 15:30  to 2018-07-14 15:45,0.053,,
2018-07-14 15:45  to 2018-07-14 16:00,0.060,,
2018-07-14 16:00  to 2018-07-14 16:15,0.000,,
2018-07-14 16:15  to 2018-07-14 16:30,0.001,,
2018-07-14 16:30  to 2018-07-14 16:45,0.000,,
2018-07-14 16:45  to 2018-07-14 17:00,0.000,,
2018-07-14 17:00  to 2018-07-14 17:15,0.003,,
2018-07-14 17:15  to 2018-07-14 17:30,0.000,,
2018-07-14 17:30  to 2018-07-14 17:45,0.000,,
2018-07-14 17:45  to 2018-07-14 18:00,0.021,,
2018-07-14 18:00  to 2018-07-14 18:15,0.009,,
2018-07-14 18:15  to 2018-07-14 18:30,0.000,,
2018-07-14 18:30  to 2018-07-14 18:45,0.017,,
2018-07-14 18:45  to 2018-07-14 19:00,0.025,,
2018-07-14 19:00  to 2018-07-14 19:15,0.014,,
2018-07-14 19:15  to 2018-07-14 19:30,0.128,,
2018-07-14 19:30  to 2018-07-14 19:45,0.078,,
2018-07-14 19:45  to 2018-07-14 20:00,0.025,,
2018-07-14 20:00  to 2018-07-14 20:15,0.046,,
2018-07-14 20:15  to 2018-07-14 20:30,0.077,,
