========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-09-12 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-09-12 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-09-12 00:00  to 2018-09-12 00:15,0.061,,
2018-09-12 00:15  to 2018-09-12 00:30,0.065,,
2018-09-12 00:30  to 2018-09-12 00:45,0.091,,
2018-09-12 00:45  to 2018-09-12 01:00,0.066,,
2018-09-12 01:00  to 2018-09-12 01:15,0.061,,
2018-09-12 01:15  to 2018-09-12 01:30,0.070,,
2018-09-12 01:30  to 2018-09-12 01:45,0.206,,
2018-09-12 01:45  to 2018-09-12 02:00,0.095,,
2018-09-12 02:00  to 2018-09-12 02:15,0.062,,
2018-09-12 02:15  to 2018-09-12 02:30,0.074,,
2018-09-12 02:30  to 2018-09-12 02:45,0.099,,
2018-09-12 02:45  to 2018-09-12 03:00,0.084,,
2018-09-12 03:00  to 2018-09-12 03:15,0.080,,
2018-09-12 03:15  to 2018-09-12 03:30,0.095,,
2018-09-12 03:30  to 2018-09-12 03:45,0.103,,
2018-09-12 03:45  to 2018-09-12 04:00,0.083,,
2018-09-12 04:00  to 2018-09-12 04:15,0.082,,
2018-09-12 04:15  to 2018-09-12 04:30,0.184,,
2018-09-12 04:30  to 2018-09-12 04:45,0.134,,
2018-09-12 04:45  to 2018-09-12 05:00,0.073,,
2018-09-12 05:00  to 2018-09-12 05:15,0.063,,
2018-09-12 05:15  to 2018-09-12 05:30,0.082,,
2018-09-12 05:30  to 2018-09-12 05:45,0.144,,
2018-09-12 05:45  to 2018-09-12 06:00,0.144,,
2018-09-12 06:00  to 2018-09-12 06:15,0.125,,
2018-09-12 06:15  to 2018-09-12 06:30,0.171,,
2018-09-12 06:30  to 2018-09-12 06:45,0.101,,
2018-09-12 06:45  to 2018-09-12 07:00,0.000,,
2018-09-12 07:00  to 2018-09-12 07:15,0.006,,
2018-09-12 07:15  to 2018-09-12 07:30,0.041,,
2018-09-12 07:30  to 2018-09-12 07:45,0.000,,
2018-09-12 07:45  to 2018-09-12 08:00,0.000,,
2018-09-12 08:00  to 2018-09-12 08:15,0.000,,
2018-09-12 08:15  to 2018-09-12 08:30,0.000,,
2018-09-12 08:30  to 2018-09-12 08:45,0.000,,
2018-09-12 08:45  to 2018-09-12 09:00,0.000,,
2018-09-12 09:00  to 2018-09-12 09:15,0.000,,
2018-09-12 09:15  to 2018-09-12 09:30,0.000,,
2018-09-12 09:30  to 2018-09-12 09:45,0.000,,
