========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-09-24 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-09-24 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2019-09-24 00:00  to 2019-09-24 00:15,0.037,,
2019-09-24 00:15  to 2019-09-24 00:30,0.042,,
2019-09-24 00:30  to 2019-09-24 00:45,0.025,,
2019-09-24 00:45  to 2019-09-24 01:00,0.043,,
2019-09-24 01:00  to 2019-09-24 01:15,0.044,,
2019-09-24 01:15  to 2019-09-24 01:30,0.140,,
2019-09-24 01:30  to 2019-09-24 01:45,0.049,,
2019-09-24 01:45  to 2019-09-24 02:00,0.054,,
2019-09-24 02:00  to 2019-09-24 02:15,0.061,,
2019-09-24 02:15  to 2019-09-24 02:30,0.087,,
2019-09-24 02:30  to 2019-09-24 02:45,0.199,,
2019-09-24 02:45  to 2019-09-24 03:00,0.056,,
2019-09-24 03:00  to 2019-09-24 03:15,0.046,,
2019-09-24 03:15  to 2019-09-24 03:30,0.071,,
2019-09-24 03:30  to 2019-09-24 03:45,0.051,,
2019-09-24 03:45  to 2019-09-24 04:00,0.046,,
2019-09-24 04:00  to 2019-09-24 04:15,0.073,,
2019-09-24 04:15  to 2019-09-24 04:30,0.043,,
2019-09-24 04:30  to 2019-09-24 04:45,0.029,,
2019-09-24 04:45  to 2019-09-24 05:00,0.050,,
2019-09-24 05:00  to 2019-09-24 05:15,0.025,,
2019-09-24 05:15  to 2019-09-24 05:30,0.035,,
2019-09-24 05:30  to 2019-09-24 05:45,0.070,,
2019-09-24 05:45  to 2019-09-24 06:00,0.053,,
2019-09-24 06:00  to 2019-09-24 06:15,0.084,,
2019-09-24 06:15  to 2019-09-24 06:30,0.247,,
2019-09-24 06:30  to 2019-09-24 06:45,0.242,,
2019-09-24 06:45  to 2019-09-24 07:00,0.310,,
2019-09-24 07:00  to 2019-09-24 07:15,0.145,,
2019-09-24 07:15  to 2019-09-24 07:30,0.193,,
2019-09-24 07:30  to 2019-09-24 07:45,0.101,,
2019-09-24 07:45  to 2019-09-24 08:00,0.044,,
2019-09-24 08:00  to 2019-09-24 08:15,0.020,,
2019-09-24 08:15  to 2019-09-24 08:30,0.005,,
2019-09-24 08:30  to 2019-09-24 08:45,0.016,,
2019-09-24 08:45  to 2019-09-24 09:00,0.000,,
2019-09-24 09:00  to 2019-09-24 09:15,0.000,,
2019-09-24 09:15  to 2019-09-24 09:30,0.000,,
2019-09-24 09:30  to 2019-09-24 09:45,0.000,,
2019-09-24 09:45  to 2019-09-24 10:00,0.000,,
2019-09-24 10:00  to 2019-09-24 10:15,0.000,,
2019-09-24 10:15  to 2019-09-24 10:30,0.000,,
2019-09-24 10:30  to 2019-09-24 10:45,0.000,,
2019-09-24 10:45  to 2019-09-24 11:00,0.000,,
2019-09-24 11:00  to 2019-09-24 11:15,0.000,,
2019-09-24 11:15  to 2019-09-24 11:30,0.000,,
2019-09-24 11:30  to 2019-09-24 11:45,0.000,,
2019-09-24 11:45  to 2019-09-24 12:00,0.000,,
2019-09-24 12:00  to 2019-09-24 12:15,0.000,,
2019-09-24 12:15  to 2019-09-24 12:30,0.000,,
2019-09-24 12:30  to 2019-09-24 12:45,0.000,,
2019-09-24 12:45  to 2019-09-24 13:00,0.000,,
2019-09-24 13:00  to 2019-09-24 13:15,0.000,,
2019-09-24 13:15  to 2019-09-24 13:30,0.000,,
2019-09-24 13:30  to 2019-09-24 13:45,0.000,,
2019-09-24 13:45  to 2019-09-24 14:00,0.000,,
2019-09-24 14:00  to 2019-09-24 14:15,0.000,,
2019-09-24 14:15  to 2019-09-24 14:30,0.000,,
2019-09-24 14:30  to 2019-09-24 14:45,0.037,,
2019-09-24 14:45  to 2019-09-24 15:00,0.000,,
2019-09-24 15:00  to 2019-09-24 15:15,0.000,,
2019-09-24 15:15  to 2019-09-24 15:30,0.000,,
2019-09-24 15:30  to 2019-09-24 15:45,0.000,,
2019-09-24 15:45  to 2019-09-24 16:00,0.056,,
2019-09-24 16:00  to 2019-09-24 16:15,0.027,,
2019-09-24 16:15  to 2019-09-24 16:30,0.001,,
2019-09-24 16:30  to 2019-09-24 16:45,0.009,,
2019-09-24 16:45  to 2019-09-24 17:00,0.295,,
2019-09-24 17:00  to 2019-09-24 17:15,0.100,,
2019-09-24 17:15  to 2019-09-24 17:30,0.036,,
2019-09-24 17:30  to 2019-09-24 17:45,0.249,,
2019-09-24 17:45  to 2019-09-24 18:00,0.396,,
2019-09-24 18:00  to 2019-09-24 18:15,0.087,,
2019-09-24 18:15  to 2019-09-24 18:30,0.049,,
2019-09-24 18:30  to 2019-09-24 18:45,0.182,,
2019-09-24 18:45  to 2019-09-24 19:00,0.084,,
2019-09-24 19:00  to 2019-09-24 19:15,0.047,,
2019-09-24 19:15  to 2019-09-24 19:30,0.069,,
2019-09-24 19:30  to 2019-09-24 19:45,0.065,,
2019-09-24 19:45  to 2019-09-24 20:00,0.056,,
2019-09-24 20:00  to 2019-09-24 20:15,0.081,,
2019-09-24 20:15  to 2019-09-24 20:30,0.060,,
2019-09-24 20:30  to 2019-09-24 20:45,0.083,,
2019-09-24 20:45  to 2019-09-24 21:00,0.065,,
2019-09-24 21:00  to 2019-09-24 21:15,0.068,,
2019-09-24 21:15  to 2019-09-24 21:30,0.083,,
2019-09-24 21:30  to 2019-09-24 21:45,0.046,,
