========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-11-26 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-11-26 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-11-26 00:00  to 2018-11-26 00:15,0.149,,
2018-11-26 00:15  to 2018-11-26 00:30,0.135,,
2018-11-26 00:30  to 2018-11-26 00:45,0.172,,
2018-11-26 00:45  to 2018-11-26 01:00,0.152,,
2018-11-26 01:00  to 2018-11-26 01:15,0.180,,
2018-11-26 01:15  to 2018-11-26 01:30,0.122,,
2018-11-26 01:30  to 2018-11-26 01:45,0.104,,
2018-11-26 01:45  to 2018-11-26 02:00,0.196,,
2018-11-26 02:00  to 2018-11-26 02:15,0.154,,
2018-11-26 02:15  to 2018-11-26 02:30,0.236,,
2018-11-26 02:30  to 2018-11-26 02:45,0.120,,
2018-11-26 02:45  to 2018-11-26 03:00,0.117,,
2018-11-26 03:00  to 2018-11-26 03:15,0.118,,
2018-11-26 03:15  to 2018-11-26 03:30,0.245,,
2018-11-26 03:30  to 2018-11-26 03:45,0.228,,
2018-11-26 03:45  to 2018-11-26 04:00,0.113,,
2018-11-26 04:00  to 2018-11-26 04:15,0.113,,
2018-11-26 04:15  to 2018-11-26 04:30,0.143,,
2018-11-26 04:30  to 2018-11-26 04:45,0.201,,
2018-11-26 04:45  to 2018-11-26 05:00,0.171,,
2018-11-26 05:00  to 2018-11-26 05:15,0.105,,
2018-11-26 05:15  to 2018-11-26 05:30,0.096,,
2018-11-26 05:30  to 2018-11-26 05:45,0.190,,
2018-11-26 05:45  to 2018-11-26 06:00,0.255,,
2018-11-26 06:00  to 2018-11-26 06:15,0.110,,
2018-11-26 06:15  to 2018-11-26 06:30,0.087,,
2018-11-26 06:30  to 2018-11-26 06:45,0.116,,
2018-11-26 06:45  to 2018-11-26 07:00,0.273,,
2018-11-26 07:00  to 2018-11-26 07:15,0.221,,
2018-11-26 07:15  to 2018-11-26 07:30,0.189,,
2018-11-26 07:30  to 2018-11-26 07:45,0.304,,
2018-11-26 07:45  to 2018-11-26 08:00,0.270,,
2018-11-26 08:00  to 2018-11-26 08:15,0.100,,
2018-11-26 08:15  to 2018-11-26 08:30,0.084,,
2018-11-26 08:30  to 2018-11-26 08:45,0.187,,
2018-11-26 08:45  to 2018-11-26 09:00,0.064,,
2018-11-26 09:00  to 2018-11-26 09:15,0.067,,
2018-11-26 09:15  to 2018-11-26 09:30,0.046,,
2018-11-26 09:30  to 2018-11-26 09:45,0.035,,
2018-11-26 09:45  to 2018-11-26 10:00,0.024,,
2018-11-26 10:00  to 2018-11-26 10:15,0.034,,
2018-11-26 10:15  to 2018-11-26 10:30,0.017,,
2018-11-26 10:30  to 2018-11-26 10:45,0.016,,
2018-11-26 10:45  to 2018-11-26 11:00,0.037,,
2018-11-26 11:00  to 2018-11-26 11:15,0.011,,
2018-11-26 11:15  to 2018-11-26 11:30,0.001,,
2018-11-26 11:30  to 2018-11-26 11:45,0.001,,
2018-11-26 11:45  to 2018-11-26 12:00,0.001,,
2018-11-26 12:00  to 2018-11-26 12:15,0.015,,
2018-11-26 12:15  to 2018-11-26 12:30,0.000,,
2018-11-26 12:30  to 2018-11-26 12:45,0.000,,
2018-11-26 12:45  to 2018-11-26 13:00,0.000,,
2018-11-26 13:00  to 2018-11-26 13:15,0.012,,
2018-11-26 13:15  to 2018-11-26 13:30,0.007,,
2018-11-26 13:30  to 2018-11-26 13:45,0.000,,
2018-11-26 13:45  to 2018-11-26 14:00,0.002,,
2018-11-26 14:00  to 2018-11-26 14:15,0.019,,
2018-11-26 14:15  to 2018-11-26 14:30,0.040,,
2018-11-26 14:30  to 2018-11-26 14:45,0.022,,
2018-11-26 14:45  to 2018-11-26 15:00,0.026,,
2018-11-26 15:00  to 2018-11-26 15:15,0.030,,
2018-11-26 15:15  to 2018-11-26 15:30,0.051,,
2018-11-26 15:30  to 2018-11-26 15:45,0.266,,
2018-11-26 15:45  to 2018-11-26 16:00,0.310,,
2018-11-26 16:00  to 2018-11-26 16:15,0.199,,
2018-11-26 16:15  to 2018-11-26 16:30,0.084,,
2018-11-26 16:30  to 2018-11-26 16:45,0.248,,
2018-11-26 16:45  to 2018-11-26 17:00,0.397,,
2018-11-26 17:00  to 2018-11-26 17:15,0.587,,
2018-11-26 17:15  to 2018-11-26 17:30,0.212,,
2018-11-26 17:30  to 2018-11-26 17:45,0.239,,
2018-11-26 17:45  to 2018-11-26 18:00,0.123,,
2018-11-26 18:00  to 2018-11-26 18:15,0.105,,
2018-11-26 18:15  to 2018-11-26 18:30,0.105,,
2018-11-26 18:30  to 2018-11-26 18:45,0.085,,
2018-11-26 18:45  to 2018-11-26 19:00,0.321,,
2018-11-26 19:00  to 2018-11-26 19:15,0.386,,
2018-11-26 19:15  to 2018-11-26 19:30,0.167,,
2018-11-26 19:30  to 2018-11-26 19:45,0.198,,
2018-11-26 19:45  to 2018-11-26 20:00,0.296,,
2018-11-26 20:00  to 2018-11-26 20:15,0.180,,
2018-11-26 20:15  to 2018-11-26 20:30,0.178,,
2018-11-26 20:30  to 2018-11-26 20:45,0.314,,
2018-11-26 20:45  to 2018-11-26 21:00,0.177,,
2018-11-26 21:00  to 2018-11-26 21:15,0.164,,
2018-11-26 21:15  to 2018-11-26 21:30,0.321,,
2018-11-26 21:30  to 2018-11-26 21:45,0.184,,
2018-11-26 21:45  to 2018-11-26 22:00,0.178,,
2018-11-26 22:00  to 2018-11-26 22:15,0.263,,
2018-11-26 22:15  to 2018-11-26 22:30,0.233,,
2018-11-26 22:30  to 2018-11-26 22:45,0.171,,
2018-11-26 22:45  to 2018-11-26 23:00,0.160,,
2018-11-26 23:00  to 2018-11-26 23:15,0.232,,
2018-11-26 23:15  to 2018-11-26 23:30,0.143,,
2018-11-26 23:30  to 2018-11-26 23:45,0.198,,
2018-11-26 23:45  to 2018-11-27 00:00,0.161,,

========================================
Interval Blockdata for period starting:, 2018-11-27 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-11-27 00:00  to 2018-11-27 00:15,0.196,,
2018-11-27 00:15  to 2018-11-27 00:30,0.195,,
2018-11-27 00:30  to 2018-11-27 00:45,0.120,,
2018-11-27 00:45  to 2018-11-27 01:00,0.331,,
2018-11-27 01:00  to 2018-11-27 01:15,0.135,,
2018-11-27 01:15  to 2018-11-27 01:30,0.143,,
2018-11-27 01:30  to 2018-11-27 01:45,0.248,,
2018-11-27 01:45  to 2018-11-27 02:00,0.324,,
2018-11-27 02:00  to 2018-11-27 02:15,0.366,,
2018-11-27 02:15  to 2018-11-27 02:30,0.149,,
2018-11-27 02:30  to 2018-11-27 02:45,0.281,,
2018-11-27 02:45  to 2018-11-27 03:00,0.182,,
2018-11-27 03:00  to 2018-11-27 03:15,0.210,,
2018-11-27 03:15  to 2018-11-27 03:30,0.101,,
2018-11-27 03:30  to 2018-11-27 03:45,0.130,,
2018-11-27 03:45  to 2018-11-27 04:00,0.231,,
2018-11-27 04:00  to 2018-11-27 04:15,0.135,,
2018-11-27 04:15  to 2018-11-27 04:30,0.191,,
2018-11-27 04:30  to 2018-11-27 04:45,0.098,,
2018-11-27 04:45  to 2018-11-27 05:00,0.249,,
2018-11-27 05:00  to 2018-11-27 05:15,0.142,,
2018-11-27 05:15  to 2018-11-27 05:30,0.167,,
2018-11-27 05:30  to 2018-11-27 05:45,0.112,,
2018-11-27 05:45  to 2018-11-27 06:00,0.299,,
2018-11-27 06:00  to 2018-11-27 06:15,0.230,,
2018-11-27 06:15  to 2018-11-27 06:30,0.161,,
2018-11-27 06:30  to 2018-11-27 06:45,0.103,,
2018-11-27 06:45  to 2018-11-27 07:00,0.349,,
2018-11-27 07:00  to 2018-11-27 07:15,0.424,,
2018-11-27 07:15  to 2018-11-27 07:30,0.482,,
2018-11-27 07:30  to 2018-11-27 07:45,0.298,,
2018-11-27 07:45  to 2018-11-27 08:00,0.351,,
2018-11-27 08:00  to 2018-11-27 08:15,0.194,,
2018-11-27 08:15  to 2018-11-27 08:30,0.138,,
2018-11-27 08:30  to 2018-11-27 08:45,0.153,,
2018-11-27 08:45  to 2018-11-27 09:00,0.020,,
2018-11-27 09:00  to 2018-11-27 09:15,0.021,,
2018-11-27 09:15  to 2018-11-27 09:30,0.019,,
2018-11-27 09:30  to 2018-11-27 09:45,0.001,,
2018-11-27 09:45  to 2018-11-27 10:00,0.002,,
2018-11-27 10:00  to 2018-11-27 10:15,0.000,,
2018-11-27 10:15  to 2018-11-27 10:30,0.000,,
2018-11-27 10:30  to 2018-11-27 10:45,0.000,,
2018-11-27 10:45  to 2018-11-27 11:00,0.000,,
2018-11-27 11:00  to 2018-11-27 11:15,0.000,,
2018-11-27 11:15  to 2018-11-27 11:30,0.000,,
2018-11-27 11:30  to 2018-11-27 11:45,0.000,,
2018-11-27 11:45  to 2018-11-27 12:00,0.000,,
2018-11-27 12:00  to 2018-11-27 12:15,0.000,,
2018-11-27 12:15  to 2018-11-27 12:30,0.000,,
2018-11-27 12:30  to 2018-11-27 12:45,0.000,,
2018-11-27 12:45  to 2018-11-27 13:00,0.000,,
2018-11-27 13:00  to 2018-11-27 13:15,0.000,,
2018-11-27 13:15  to 2018-11-27 13:30,0.002,,
2018-11-27 13:30  to 2018-11-27 13:45,0.000,,
2018-11-27 13:45  to 2018-11-27 14:00,0.000,,
2018-11-27 14:00  to 2018-11-27 14:15,0.000,,
2018-11-27 14:15  to 2018-11-27 14:30,0.000,,
2018-11-27 14:30  to 2018-11-27 14:45,0.001,,
2018-11-27 14:45  to 2018-11-27 15:00,0.006,,
2018-11-27 15:00  to 2018-11-27 15:15,0.133,,
2018-11-27 15:15  to 2018-11-27 15:30,0.291,,
2018-11-27 15:30  to 2018-11-27 15:45,0.132,,
2018-11-27 15:45  to 2018-11-27 16:00,0.149,,
2018-11-27 16:00  to 2018-11-27 16:15,0.101,,
2018-11-27 16:15  to 2018-11-27 16:30,0.053,,
2018-11-27 16:30  to 2018-11-27 16:45,0.170,,
2018-11-27 16:45  to 2018-11-27 17:00,0.092,,
2018-11-27 17:00  to 2018-11-27 17:15,0.406,,
2018-11-27 17:15  to 2018-11-27 17:30,0.194,,
2018-11-27 17:30  to 2018-11-27 17:45,0.107,,
2018-11-27 17:45  to 2018-11-27 18:00,0.114,,
2018-11-27 18:00  to 2018-11-27 18:15,0.093,,
2018-11-27 18:15  to 2018-11-27 18:30,0.220,,
2018-11-27 18:30  to 2018-11-27 18:45,0.129,,
2018-11-27 18:45  to 2018-11-27 19:00,0.270,,
2018-11-27 19:00  to 2018-11-27 19:15,0.214,,
2018-11-27 19:15  to 2018-11-27 19:30,0.299,,
2018-11-27 19:30  to 2018-11-27 19:45,0.164,,
2018-11-27 19:45  to 2018-11-27 20:00,0.167,,
2018-11-27 20:00  to 2018-11-27 20:15,0.199,,
2018-11-27 20:15  to 2018-11-27 20:30,0.261,,
2018-11-27 20:30  to 2018-11-27 20:45,0.164,,
2018-11-27 20:45  to 2018-11-27 21:00,0.164,,
2018-11-27 21:00  to 2018-11-27 21:15,0.205,,
2018-11-27 21:15  to 2018-11-27 21:30,0.175,,
2018-11-27 21:30  to 2018-11-27 21:45,0.165,,
2018-11-27 21:45  to 2018-11-27 22:00,0.157,,
2018-11-27 22:00  to 2018-11-27 22:15,0.140,,
2018-11-27 22:15  to 2018-11-27 22:30,0.218,,
2018-11-27 22:30  to 2018-11-27 22:45,0.180,,
2018-11-27 22:45  to 2018-11-27 23:00,0.172,,
2018-11-27 23:00  to 2018-11-27 23:15,0.171,,
2018-11-27 23:15  to 2018-11-27 23:30,0.176,,
2018-11-27 23:30  to 2018-11-27 23:45,0.215,,
2018-11-27 23:45  to 2018-11-28 00:00,0.240,,

========================================
Interval Blockdata for period starting:, 2018-11-28 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-11-28 00:00  to 2018-11-28 00:15,0.241,,
2018-11-28 00:15  to 2018-11-28 00:30,0.311,,
2018-11-28 00:30  to 2018-11-28 00:45,0.290,,
2018-11-28 00:45  to 2018-11-28 01:00,0.147,,
2018-11-28 01:00  to 2018-11-28 01:15,0.151,,
2018-11-28 01:15  to 2018-11-28 01:30,0.157,,
2018-11-28 01:30  to 2018-11-28 01:45,0.258,,
2018-11-28 01:45  to 2018-11-28 02:00,0.147,,
2018-11-28 02:00  to 2018-11-28 02:15,0.113,,
2018-11-28 02:15  to 2018-11-28 02:30,0.149,,
2018-11-28 02:30  to 2018-11-28 02:45,0.200,,
2018-11-28 02:45  to 2018-11-28 03:00,0.175,,
2018-11-28 03:00  to 2018-11-28 03:15,0.116,,
2018-11-28 03:15  to 2018-11-28 03:30,0.104,,
2018-11-28 03:30  to 2018-11-28 03:45,0.150,,
2018-11-28 03:45  to 2018-11-28 04:00,0.226,,
2018-11-28 04:00  to 2018-11-28 04:15,0.098,,
2018-11-28 04:15  to 2018-11-28 04:30,0.114,,
2018-11-28 04:30  to 2018-11-28 04:45,0.218,,
2018-11-28 04:45  to 2018-11-28 05:00,0.156,,
2018-11-28 05:00  to 2018-11-28 05:15,0.109,,
2018-11-28 05:15  to 2018-11-28 05:30,0.140,,
2018-11-28 05:30  to 2018-11-28 05:45,0.275,,
2018-11-28 05:45  to 2018-11-28 06:00,0.097,,
2018-11-28 06:00  to 2018-11-28 06:15,0.120,,
2018-11-28 06:15  to 2018-11-28 06:30,0.239,,
2018-11-28 06:30  to 2018-11-28 06:45,0.244,,
2018-11-28 06:45  to 2018-11-28 07:00,0.188,,
2018-11-28 07:00  to 2018-11-28 07:15,0.185,,
2018-11-28 07:15  to 2018-11-28 07:30,0.304,,
2018-11-28 07:30  to 2018-11-28 07:45,0.133,,
2018-11-28 07:45  to 2018-11-28 08:00,0.094,,
2018-11-28 08:00  to 2018-11-28 08:15,0.088,,
2018-11-28 08:15  to 2018-11-28 08:30,0.035,,
2018-11-28 08:30  to 2018-11-28 08:45,0.016,,
