========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-05-15 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-05-15 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
2018-05-15 21:45  to 2018-05-15 22:00,0.167,,
2018-05-15 22:00  to 2018-05-15 22:15,0.164,,
2018-05-15 22:15  to 2018-05-15 22:30,0.084,,
2018-05-15 22:30  to 2018-05-15 22:45,0.039,,
2018-05-15 22:45  to 2018-05-15 23:00,0.059,,
2018-05-15 23:00  to 2018-05-15 23:15,0.058,,
2018-05-15 23:15  to 2018-05-15 23:30,0.038,,
2018-05-15 23:30  to 2018-05-15 23:45,0.059,,
2018-05-15 23:45  to 2018-05-16 00:00,0.058,,

========================================
Interval Blockdata for period starting:, 2018-05-16 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-05-16 00:00  to 2018-05-16 00:15,0.037,,
2018-05-16 00:15  to 2018-05-16 00:30,0.062,,
2018-05-16 00:30  to 2018-05-16 00:45,0.049,,
2018-05-16 00:45  to 2018-05-16 01:00,0.037,,
2018-05-16 01:00  to 2018-05-16 01:15,0.065,,
2018-05-16 01:15  to 2018-05-16 01:30,0.053,,
2018-05-16 01:30  to 2018-05-16 01:45,0.053,,
2018-05-16 01:45  to 2018-05-16 02:00,0.076,,
2018-05-16 02:00  to 2018-05-16 02:15,0.086,,
2018-05-16 02:15  to 2018-05-16 02:30,0.059,,
2018-05-16 02:30  to 2018-05-16 02:45,0.069,,
2018-05-16 02:45  to 2018-05-16 03:00,0.085,,
2018-05-16 03:00  to 2018-05-16 03:15,0.046,,
2018-05-16 03:15  to 2018-05-16 03:30,0.035,,
2018-05-16 03:30  to 2018-05-16 03:45,0.061,,
2018-05-16 03:45  to 2018-05-16 04:00,0.049,,
2018-05-16 04:00  to 2018-05-16 04:15,0.038,,
2018-05-16 04:15  to 2018-05-16 04:30,0.047,,
2018-05-16 04:30  to 2018-05-16 04:45,0.071,,
2018-05-16 04:45  to 2018-05-16 05:00,0.040,,
2018-05-16 05:00  to 2018-05-16 05:15,0.034,,
2018-05-16 05:15  to 2018-05-16 05:30,0.057,,
2018-05-16 05:30  to 2018-05-16 05:45,0.060,,
2018-05-16 05:45  to 2018-05-16 06:00,0.177,,
2018-05-16 06:00  to 2018-05-16 06:15,0.225,,
2018-05-16 06:15  to 2018-05-16 06:30,0.113,,
2018-05-16 06:30  to 2018-05-16 06:45,0.044,,
