========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-07-09 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-07-09 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2019-07-09 00:00  to 2019-07-09 00:15,0.085,,
2019-07-09 00:15  to 2019-07-09 00:30,0.157,,
2019-07-09 00:30  to 2019-07-09 00:45,0.140,,
2019-07-09 00:45  to 2019-07-09 01:00,0.169,,
2019-07-09 01:00  to 2019-07-09 01:15,0.211,,
2019-07-09 01:15  to 2019-07-09 01:30,0.176,,
2019-07-09 01:30  to 2019-07-09 01:45,0.158,,
2019-07-09 01:45  to 2019-07-09 02:00,0.116,,
2019-07-09 02:00  to 2019-07-09 02:15,0.117,,
2019-07-09 02:15  to 2019-07-09 02:30,0.067,,
2019-07-09 02:30  to 2019-07-09 02:45,0.045,,
2019-07-09 02:45  to 2019-07-09 03:00,0.062,,
2019-07-09 03:00  to 2019-07-09 03:15,0.041,,
2019-07-09 03:15  to 2019-07-09 03:30,0.025,,
2019-07-09 03:30  to 2019-07-09 03:45,0.048,,
2019-07-09 03:45  to 2019-07-09 04:00,0.030,,
2019-07-09 04:00  to 2019-07-09 04:15,0.028,,
2019-07-09 04:15  to 2019-07-09 04:30,0.051,,
2019-07-09 04:30  to 2019-07-09 04:45,0.024,,
2019-07-09 04:45  to 2019-07-09 05:00,0.123,,
2019-07-09 05:00  to 2019-07-09 05:15,0.154,,
2019-07-09 05:15  to 2019-07-09 05:30,0.081,,
2019-07-09 05:30  to 2019-07-09 05:45,0.112,,
2019-07-09 05:45  to 2019-07-09 06:00,0.087,,
2019-07-09 06:00  to 2019-07-09 06:15,0.013,,
2019-07-09 06:15  to 2019-07-09 06:30,0.014,,
2019-07-09 06:30  to 2019-07-09 06:45,0.001,,
2019-07-09 06:45  to 2019-07-09 07:00,0.000,,
2019-07-09 07:00  to 2019-07-09 07:15,0.000,,
2019-07-09 07:15  to 2019-07-09 07:30,0.000,,
2019-07-09 07:30  to 2019-07-09 07:45,0.000,,
2019-07-09 07:45  to 2019-07-09 08:00,0.000,,
2019-07-09 08:00  to 2019-07-09 08:15,0.000,,
2019-07-09 08:15  to 2019-07-09 08:30,0.000,,
2019-07-09 08:30  to 2019-07-09 08:45,0.000,,
2019-07-09 08:45  to 2019-07-09 09:00,0.000,,
2019-07-09 09:00  to 2019-07-09 09:15,0.000,,
2019-07-09 09:15  to 2019-07-09 09:30,0.000,,
2019-07-09 09:30  to 2019-07-09 09:45,0.000,,
2019-07-09 09:45  to 2019-07-09 10:00,0.000,,
2019-07-09 10:00  to 2019-07-09 10:15,0.000,,
2019-07-09 10:15  to 2019-07-09 10:30,0.000,,
2019-07-09 10:30  to 2019-07-09 10:45,0.000,,
2019-07-09 10:45  to 2019-07-09 11:00,0.000,,
2019-07-09 11:00  to 2019-07-09 11:15,0.000,,
2019-07-09 11:15  to 2019-07-09 11:30,0.000,,
2019-07-09 11:30  to 2019-07-09 11:45,0.000,,
2019-07-09 11:45  to 2019-07-09 12:00,0.000,,
2019-07-09 12:00  to 2019-07-09 12:15,0.000,,
2019-07-09 12:15  to 2019-07-09 12:30,0.000,,
2019-07-09 12:30  to 2019-07-09 12:45,0.000,,
2019-07-09 12:45  to 2019-07-09 13:00,0.001,,
2019-07-09 13:00  to 2019-07-09 13:15,0.000,,
2019-07-09 13:15  to 2019-07-09 13:30,0.000,,
2019-07-09 13:30  to 2019-07-09 13:45,0.000,,
2019-07-09 13:45  to 2019-07-09 14:00,0.000,,
2019-07-09 14:00  to 2019-07-09 14:15,0.000,,
2019-07-09 14:15  to 2019-07-09 14:30,0.000,,
2019-07-09 14:30  to 2019-07-09 14:45,0.000,,
2019-07-09 14:45  to 2019-07-09 15:00,0.000,,
2019-07-09 15:00  to 2019-07-09 15:15,0.000,,
2019-07-09 15:15  to 2019-07-09 15:30,0.001,,
2019-07-09 15:30  to 2019-07-09 15:45,0.015,,
2019-07-09 15:45  to 2019-07-09 16:00,0.000,,
2019-07-09 16:00  to 2019-07-09 16:15,0.000,,
2019-07-09 16:15  to 2019-07-09 16:30,0.023,,
2019-07-09 16:30  to 2019-07-09 16:45,0.043,,
2019-07-09 16:45  to 2019-07-09 17:00,0.093,,
2019-07-09 17:00  to 2019-07-09 17:15,0.062,,
2019-07-09 17:15  to 2019-07-09 17:30,0.027,,
2019-07-09 17:30  to 2019-07-09 17:45,0.054,,
2019-07-09 17:45  to 2019-07-09 18:00,0.000,,
2019-07-09 18:00  to 2019-07-09 18:15,0.007,,
2019-07-09 18:15  to 2019-07-09 18:30,0.003,,
2019-07-09 18:30  to 2019-07-09 18:45,0.019,,
