========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-04-10 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-04-10 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2019-04-10 00:00  to 2019-04-10 00:15,0.058,,
2019-04-10 00:15  to 2019-04-10 00:30,0.033,,
2019-04-10 00:30  to 2019-04-10 00:45,0.054,,
2019-04-10 00:45  to 2019-04-10 01:00,0.056,,
2019-04-10 01:00  to 2019-04-10 01:15,0.074,,
2019-04-10 01:15  to 2019-04-10 01:30,0.068,,
2019-04-10 01:30  to 2019-04-10 01:45,0.054,,
2019-04-10 01:45  to 2019-04-10 02:00,0.039,,
2019-04-10 02:00  to 2019-04-10 02:15,0.034,,
2019-04-10 02:15  to 2019-04-10 02:30,0.060,,
2019-04-10 02:30  to 2019-04-10 02:45,0.039,,
2019-04-10 02:45  to 2019-04-10 03:00,0.034,,
2019-04-10 03:00  to 2019-04-10 03:15,0.034,,
2019-04-10 03:15  to 2019-04-10 03:30,0.034,,
2019-04-10 03:30  to 2019-04-10 03:45,0.058,,
2019-04-10 03:45  to 2019-04-10 04:00,0.033,,
2019-04-10 04:00  to 2019-04-10 04:15,0.033,,
2019-04-10 04:15  to 2019-04-10 04:30,0.034,,
2019-04-10 04:30  to 2019-04-10 04:45,0.052,,
2019-04-10 04:45  to 2019-04-10 05:00,0.067,,
2019-04-10 05:00  to 2019-04-10 05:15,0.083,,
2019-04-10 05:15  to 2019-04-10 05:30,0.101,,
2019-04-10 05:30  to 2019-04-10 05:45,0.215,,
2019-04-10 05:45  to 2019-04-10 06:00,0.088,,
2019-04-10 06:00  to 2019-04-10 06:15,0.056,,
2019-04-10 06:15  to 2019-04-10 06:30,0.129,,
2019-04-10 06:30  to 2019-04-10 06:45,0.086,,
2019-04-10 06:45  to 2019-04-10 07:00,0.113,,
2019-04-10 07:00  to 2019-04-10 07:15,0.130,,
2019-04-10 07:15  to 2019-04-10 07:30,0.139,,
2019-04-10 07:30  to 2019-04-10 07:45,0.078,,
2019-04-10 07:45  to 2019-04-10 08:00,0.022,,
2019-04-10 08:00  to 2019-04-10 08:15,0.026,,
2019-04-10 08:15  to 2019-04-10 08:30,0.044,,
2019-04-10 08:30  to 2019-04-10 08:45,0.034,,
2019-04-10 08:45  to 2019-04-10 09:00,0.042,,
2019-04-10 09:00  to 2019-04-10 09:15,0.034,,
2019-04-10 09:15  to 2019-04-10 09:30,0.019,,
2019-04-10 09:30  to 2019-04-10 09:45,0.038,,
2019-04-10 09:45  to 2019-04-10 10:00,0.044,,
2019-04-10 10:00  to 2019-04-10 10:15,0.061,,
2019-04-10 10:15  to 2019-04-10 10:30,0.028,,
2019-04-10 10:30  to 2019-04-10 10:45,0.046,,
2019-04-10 10:45  to 2019-04-10 11:00,0.031,,
2019-04-10 11:00  to 2019-04-10 11:15,0.000,,
2019-04-10 11:15  to 2019-04-10 11:30,0.000,,
2019-04-10 11:30  to 2019-04-10 11:45,0.000,,
2019-04-10 11:45  to 2019-04-10 12:00,0.000,,
2019-04-10 12:00  to 2019-04-10 12:15,0.000,,
2019-04-10 12:15  to 2019-04-10 12:30,0.005,,
2019-04-10 12:30  to 2019-04-10 12:45,0.017,,
2019-04-10 12:45  to 2019-04-10 13:00,0.013,,
2019-04-10 13:00  to 2019-04-10 13:15,0.005,,
2019-04-10 13:15  to 2019-04-10 13:30,0.009,,
2019-04-10 13:30  to 2019-04-10 13:45,0.182,,
2019-04-10 13:45  to 2019-04-10 14:00,0.192,,
2019-04-10 14:00  to 2019-04-10 14:15,0.007,,
2019-04-10 14:15  to 2019-04-10 14:30,0.001,,
2019-04-10 14:30  to 2019-04-10 14:45,0.127,,
2019-04-10 14:45  to 2019-04-10 15:00,0.000,,
2019-04-10 15:00  to 2019-04-10 15:15,0.000,,
2019-04-10 15:15  to 2019-04-10 15:30,0.000,,
2019-04-10 15:30  to 2019-04-10 15:45,0.003,,
2019-04-10 15:45  to 2019-04-10 16:00,0.037,,
2019-04-10 16:00  to 2019-04-10 16:15,0.140,,
2019-04-10 16:15  to 2019-04-10 16:30,0.055,,
2019-04-10 16:30  to 2019-04-10 16:45,0.043,,
2019-04-10 16:45  to 2019-04-10 17:00,0.050,,
2019-04-10 17:00  to 2019-04-10 17:15,0.111,,
2019-04-10 17:15  to 2019-04-10 17:30,0.074,,
2019-04-10 17:30  to 2019-04-10 17:45,0.043,,
2019-04-10 17:45  to 2019-04-10 18:00,0.051,,
2019-04-10 18:00  to 2019-04-10 18:15,0.124,,
2019-04-10 18:15  to 2019-04-10 18:30,0.062,,
2019-04-10 18:30  to 2019-04-10 18:45,0.070,,
2019-04-10 18:45  to 2019-04-10 19:00,0.066,,
2019-04-10 19:00  to 2019-04-10 19:15,0.064,,
2019-04-10 19:15  to 2019-04-10 19:30,0.087,,
