========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-01-25 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-01-25 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2019-01-25 00:00  to 2019-01-25 00:15,0.232,,
2019-01-25 00:15  to 2019-01-25 00:30,0.150,,
2019-01-25 00:30  to 2019-01-25 00:45,0.253,,
2019-01-25 00:45  to 2019-01-25 01:00,0.259,,
2019-01-25 01:00  to 2019-01-25 01:15,0.166,,
2019-01-25 01:15  to 2019-01-25 01:30,0.276,,
2019-01-25 01:30  to 2019-01-25 01:45,0.222,,
2019-01-25 01:45  to 2019-01-25 02:00,0.142,,
2019-01-25 02:00  to 2019-01-25 02:15,0.283,,
2019-01-25 02:15  to 2019-01-25 02:30,0.233,,
2019-01-25 02:30  to 2019-01-25 02:45,0.150,,
2019-01-25 02:45  to 2019-01-25 03:00,0.309,,
2019-01-25 03:00  to 2019-01-25 03:15,0.235,,
2019-01-25 03:15  to 2019-01-25 03:30,0.200,,
2019-01-25 03:30  to 2019-01-25 03:45,0.324,,
2019-01-25 03:45  to 2019-01-25 04:00,0.153,,
2019-01-25 04:00  to 2019-01-25 04:15,0.308,,
2019-01-25 04:15  to 2019-01-25 04:30,0.210,,
2019-01-25 04:30  to 2019-01-25 04:45,0.168,,
2019-01-25 04:45  to 2019-01-25 05:00,0.326,,
2019-01-25 05:00  to 2019-01-25 05:15,0.209,,
2019-01-25 05:15  to 2019-01-25 05:30,0.339,,
2019-01-25 05:30  to 2019-01-25 05:45,0.342,,
2019-01-25 05:45  to 2019-01-25 06:00,0.188,,
2019-01-25 06:00  to 2019-01-25 06:15,0.129,,
2019-01-25 06:15  to 2019-01-25 06:30,0.149,,
2019-01-25 06:30  to 2019-01-25 06:45,0.121,,
2019-01-25 06:45  to 2019-01-25 07:00,0.158,,
2019-01-25 07:00  to 2019-01-25 07:15,0.187,,
2019-01-25 07:15  to 2019-01-25 07:30,0.235,,
2019-01-25 07:30  to 2019-01-25 07:45,0.119,,
2019-01-25 07:45  to 2019-01-25 08:00,0.223,,
2019-01-25 08:00  to 2019-01-25 08:15,0.151,,
2019-01-25 08:15  to 2019-01-25 08:30,0.318,,
2019-01-25 08:30  to 2019-01-25 08:45,0.163,,
2019-01-25 08:45  to 2019-01-25 09:00,0.229,,
2019-01-25 09:00  to 2019-01-25 09:15,0.232,,
2019-01-25 09:15  to 2019-01-25 09:30,0.096,,
2019-01-25 09:30  to 2019-01-25 09:45,0.222,,
2019-01-25 09:45  to 2019-01-25 10:00,0.124,,
2019-01-25 10:00  to 2019-01-25 10:15,0.262,,
2019-01-25 10:15  to 2019-01-25 10:30,0.113,,
2019-01-25 10:30  to 2019-01-25 10:45,0.197,,
2019-01-25 10:45  to 2019-01-25 11:00,0.075,,
2019-01-25 11:00  to 2019-01-25 11:15,0.213,,
2019-01-25 11:15  to 2019-01-25 11:30,0.099,,
2019-01-25 11:30  to 2019-01-25 11:45,0.295,,
2019-01-25 11:45  to 2019-01-25 12:00,0.161,,
2019-01-25 12:00  to 2019-01-25 12:15,0.190,,
2019-01-25 12:15  to 2019-01-25 12:30,0.244,,
2019-01-25 12:30  to 2019-01-25 12:45,0.292,,
2019-01-25 12:45  to 2019-01-25 13:00,0.111,,
2019-01-25 13:00  to 2019-01-25 13:15,0.319,,
2019-01-25 13:15  to 2019-01-25 13:30,0.052,,
2019-01-25 13:30  to 2019-01-25 13:45,0.302,,
2019-01-25 13:45  to 2019-01-25 14:00,0.119,,
2019-01-25 14:00  to 2019-01-25 14:15,0.206,,
2019-01-25 14:15  to 2019-01-25 14:30,0.177,,
2019-01-25 14:30  to 2019-01-25 14:45,0.117,,
2019-01-25 14:45  to 2019-01-25 15:00,0.344,,
2019-01-25 15:00  to 2019-01-25 15:15,0.227,,
2019-01-25 15:15  to 2019-01-25 15:30,0.267,,
2019-01-25 15:30  to 2019-01-25 15:45,0.114,,
2019-01-25 15:45  to 2019-01-25 16:00,0.246,,
2019-01-25 16:00  to 2019-01-25 16:15,0.104,,
2019-01-25 16:15  to 2019-01-25 16:30,0.389,,
2019-01-25 16:30  to 2019-01-25 16:45,0.438,,
2019-01-25 16:45  to 2019-01-25 17:00,0.583,,
2019-01-25 17:00  to 2019-01-25 17:15,0.251,,
2019-01-25 17:15  to 2019-01-25 17:30,0.254,,
2019-01-25 17:30  to 2019-01-25 17:45,0.073,,
2019-01-25 17:45  to 2019-01-25 18:00,0.173,,
2019-01-25 18:00  to 2019-01-25 18:15,0.097,,
2019-01-25 18:15  to 2019-01-25 18:30,0.206,,
2019-01-25 18:30  to 2019-01-25 18:45,0.079,,
2019-01-25 18:45  to 2019-01-25 19:00,0.207,,
2019-01-25 19:00  to 2019-01-25 19:15,0.315,,
2019-01-25 19:15  to 2019-01-25 19:30,0.393,,
2019-01-25 19:30  to 2019-01-25 19:45,0.238,,
2019-01-25 19:45  to 2019-01-25 20:00,0.229,,
2019-01-25 20:00  to 2019-01-25 20:15,0.222,,
2019-01-25 20:15  to 2019-01-25 20:30,0.239,,
2019-01-25 20:30  to 2019-01-25 20:45,0.316,,
2019-01-25 20:45  to 2019-01-25 21:00,0.243,,
2019-01-25 21:00  to 2019-01-25 21:15,0.208,,
2019-01-25 21:15  to 2019-01-25 21:30,0.314,,
2019-01-25 21:30  to 2019-01-25 21:45,0.234,,
2019-01-25 21:45  to 2019-01-25 22:00,0.350,,
2019-01-25 22:00  to 2019-01-25 22:15,0.250,,
2019-01-25 22:15  to 2019-01-25 22:30,0.275,,
2019-01-25 22:30  to 2019-01-25 22:45,0.212,,
2019-01-25 22:45  to 2019-01-25 23:00,0.197,,
2019-01-25 23:00  to 2019-01-25 23:15,0.185,,
2019-01-25 23:15  to 2019-01-25 23:30,0.303,,
2019-01-25 23:30  to 2019-01-25 23:45,0.192,,
2019-01-25 23:45  to 2019-01-26 00:00,0.182,,

========================================
Interval Blockdata for period starting:, 2019-01-26 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2019-01-26 00:00  to 2019-01-26 00:15,0.373,,
2019-01-26 00:15  to 2019-01-26 00:30,0.271,,
2019-01-26 00:30  to 2019-01-26 00:45,0.362,,
2019-01-26 00:45  to 2019-01-26 01:00,0.195,,
2019-01-26 01:00  to 2019-01-26 01:15,0.273,,
2019-01-26 01:15  to 2019-01-26 01:30,0.163,,
2019-01-26 01:30  to 2019-01-26 01:45,0.208,,
2019-01-26 01:45  to 2019-01-26 02:00,0.260,,
2019-01-26 02:00  to 2019-01-26 02:15,0.165,,
2019-01-26 02:15  to 2019-01-26 02:30,0.302,,
2019-01-26 02:30  to 2019-01-26 02:45,0.190,,
2019-01-26 02:45  to 2019-01-26 03:00,0.268,,
2019-01-26 03:00  to 2019-01-26 03:15,0.273,,
2019-01-26 03:15  to 2019-01-26 03:30,0.287,,
2019-01-26 03:30  to 2019-01-26 03:45,0.213,,
2019-01-26 03:45  to 2019-01-26 04:00,0.209,,
2019-01-26 04:00  to 2019-01-26 04:15,0.270,,
2019-01-26 04:15  to 2019-01-26 04:30,0.191,,
2019-01-26 04:30  to 2019-01-26 04:45,0.181,,
2019-01-26 04:45  to 2019-01-26 05:00,0.213,,
2019-01-26 05:00  to 2019-01-26 05:15,0.238,,
