========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-06-14 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-06-14 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-06-14 00:00  to 2018-06-14 00:15,0.124,,
2018-06-14 00:15  to 2018-06-14 00:30,0.104,,
2018-06-14 00:30  to 2018-06-14 00:45,0.029,,
2018-06-14 00:45  to 2018-06-14 01:00,0.050,,
2018-06-14 01:00  to 2018-06-14 01:15,0.043,,
2018-06-14 01:15  to 2018-06-14 01:30,0.029,,
2018-06-14 01:30  to 2018-06-14 01:45,0.030,,
2018-06-14 01:45  to 2018-06-14 02:00,0.051,,
2018-06-14 02:00  to 2018-06-14 02:15,0.042,,
2018-06-14 02:15  to 2018-06-14 02:30,0.042,,
2018-06-14 02:30  to 2018-06-14 02:45,0.053,,
2018-06-14 02:45  to 2018-06-14 03:00,0.074,,
2018-06-14 03:00  to 2018-06-14 03:15,0.062,,
2018-06-14 03:15  to 2018-06-14 03:30,0.084,,
2018-06-14 03:30  to 2018-06-14 03:45,0.250,,
2018-06-14 03:45  to 2018-06-14 04:00,0.294,,
2018-06-14 04:00  to 2018-06-14 04:15,0.109,,
2018-06-14 04:15  to 2018-06-14 04:30,0.061,,
2018-06-14 04:30  to 2018-06-14 04:45,0.030,,
2018-06-14 04:45  to 2018-06-14 05:00,0.054,,
2018-06-14 05:00  to 2018-06-14 05:15,0.053,,
2018-06-14 05:15  to 2018-06-14 05:30,0.087,,
2018-06-14 05:30  to 2018-06-14 05:45,0.040,,
2018-06-14 05:45  to 2018-06-14 06:00,0.027,,
2018-06-14 06:00  to 2018-06-14 06:15,0.000,,
2018-06-14 06:15  to 2018-06-14 06:30,0.000,,
2018-06-14 06:30  to 2018-06-14 06:45,0.000,,
2018-06-14 06:45  to 2018-06-14 07:00,0.000,,
2018-06-14 07:00  to 2018-06-14 07:15,0.000,,
2018-06-14 07:15  to 2018-06-14 07:30,0.062,,
2018-06-14 07:30  to 2018-06-14 07:45,0.024,,
2018-06-14 07:45  to 2018-06-14 08:00,0.000,,
2018-06-14 08:00  to 2018-06-14 08:15,0.000,,
