========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-02-09 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-02-09 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2019-02-09 00:00  to 2019-02-09 00:15,0.136,,
2019-02-09 00:15  to 2019-02-09 00:30,0.231,,
2019-02-09 00:30  to 2019-02-09 00:45,0.209,,
2019-02-09 00:45  to 2019-02-09 01:00,0.178,,
2019-02-09 01:00  to 2019-02-09 01:15,0.203,,
2019-02-09 01:15  to 2019-02-09 01:30,0.328,,
2019-02-09 01:30  to 2019-02-09 01:45,0.331,,
2019-02-09 01:45  to 2019-02-09 02:00,0.382,,
2019-02-09 02:00  to 2019-02-09 02:15,0.241,,
2019-02-09 02:15  to 2019-02-09 02:30,0.228,,
2019-02-09 02:30  to 2019-02-09 02:45,0.275,,
2019-02-09 02:45  to 2019-02-09 03:00,0.165,,
2019-02-09 03:00  to 2019-02-09 03:15,0.206,,
2019-02-09 03:15  to 2019-02-09 03:30,0.228,,
2019-02-09 03:30  to 2019-02-09 03:45,0.181,,
2019-02-09 03:45  to 2019-02-09 04:00,0.179,,
2019-02-09 04:00  to 2019-02-09 04:15,0.262,,
2019-02-09 04:15  to 2019-02-09 04:30,0.113,,
2019-02-09 04:30  to 2019-02-09 04:45,0.206,,
2019-02-09 04:45  to 2019-02-09 05:00,0.180,,
2019-02-09 05:00  to 2019-02-09 05:15,0.103,,
2019-02-09 05:15  to 2019-02-09 05:30,0.247,,
2019-02-09 05:30  to 2019-02-09 05:45,0.089,,
2019-02-09 05:45  to 2019-02-09 06:00,0.172,,
2019-02-09 06:00  to 2019-02-09 06:15,0.089,,
2019-02-09 06:15  to 2019-02-09 06:30,0.239,,
2019-02-09 06:30  to 2019-02-09 06:45,0.156,,
2019-02-09 06:45  to 2019-02-09 07:00,0.133,,
2019-02-09 07:00  to 2019-02-09 07:15,0.116,,
2019-02-09 07:15  to 2019-02-09 07:30,0.208,,
2019-02-09 07:30  to 2019-02-09 07:45,0.144,,
2019-02-09 07:45  to 2019-02-09 08:00,0.186,,
2019-02-09 08:00  to 2019-02-09 08:15,0.217,,
2019-02-09 08:15  to 2019-02-09 08:30,0.131,,
2019-02-09 08:30  to 2019-02-09 08:45,0.143,,
2019-02-09 08:45  to 2019-02-09 09:00,0.036,,
2019-02-09 09:00  to 2019-02-09 09:15,0.078,,
2019-02-09 09:15  to 2019-02-09 09:30,0.020,,
2019-02-09 09:30  to 2019-02-09 09:45,0.066,,
2019-02-09 09:45  to 2019-02-09 10:00,0.017,,
2019-02-09 10:00  to 2019-02-09 10:15,0.001,,
2019-02-09 10:15  to 2019-02-09 10:30,0.112,,
2019-02-09 10:30  to 2019-02-09 10:45,0.000,,
2019-02-09 10:45  to 2019-02-09 11:00,0.000,,
2019-02-09 11:00  to 2019-02-09 11:15,0.001,,
2019-02-09 11:15  to 2019-02-09 11:30,0.000,,
2019-02-09 11:30  to 2019-02-09 11:45,0.000,,
2019-02-09 11:45  to 2019-02-09 12:00,0.293,,
2019-02-09 12:00  to 2019-02-09 12:15,0.276,,
2019-02-09 12:15  to 2019-02-09 12:30,0.081,,
2019-02-09 12:30  to 2019-02-09 12:45,0.035,,
2019-02-09 12:45  to 2019-02-09 13:00,0.000,,
2019-02-09 13:00  to 2019-02-09 13:15,0.000,,
2019-02-09 13:15  to 2019-02-09 13:30,0.002,,
2019-02-09 13:30  to 2019-02-09 13:45,0.000,,
2019-02-09 13:45  to 2019-02-09 14:00,0.000,,
2019-02-09 14:00  to 2019-02-09 14:15,0.001,,
2019-02-09 14:15  to 2019-02-09 14:30,0.045,,
2019-02-09 14:30  to 2019-02-09 14:45,0.091,,
2019-02-09 14:45  to 2019-02-09 15:00,0.100,,
