========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-03-26 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-03-26 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2019-03-26 00:00  to 2019-03-26 00:15,0.036,,
2019-03-26 00:15  to 2019-03-26 00:30,0.036,,
2019-03-26 00:30  to 2019-03-26 00:45,0.036,,
2019-03-26 00:45  to 2019-03-26 01:00,0.047,,
2019-03-26 01:00  to 2019-03-26 01:15,0.047,,
2019-03-26 01:15  to 2019-03-26 01:30,0.039,,
2019-03-26 01:30  to 2019-03-26 01:45,0.054,,
2019-03-26 01:45  to 2019-03-26 02:00,0.036,,
2019-03-26 02:00  to 2019-03-26 02:15,0.036,,
2019-03-26 02:15  to 2019-03-26 02:30,0.044,,
2019-03-26 02:30  to 2019-03-26 02:45,0.120,,
2019-03-26 02:45  to 2019-03-26 03:00,0.151,,
2019-03-26 03:00  to 2019-03-26 03:15,0.151,,
2019-03-26 03:15  to 2019-03-26 03:30,0.173,,
2019-03-26 03:30  to 2019-03-26 03:45,0.120,,
2019-03-26 03:45  to 2019-03-26 04:00,0.053,,
2019-03-26 04:00  to 2019-03-26 04:15,0.075,,
2019-03-26 04:15  to 2019-03-26 04:30,0.037,,
2019-03-26 04:30  to 2019-03-26 04:45,0.167,,
2019-03-26 04:45  to 2019-03-26 05:00,0.191,,
2019-03-26 05:00  to 2019-03-26 05:15,0.036,,
2019-03-26 05:15  to 2019-03-26 05:30,0.109,,
2019-03-26 05:30  to 2019-03-26 05:45,0.083,,
2019-03-26 05:45  to 2019-03-26 06:00,0.057,,
2019-03-26 06:00  to 2019-03-26 06:15,0.149,,
2019-03-26 06:15  to 2019-03-26 06:30,0.148,,
2019-03-26 06:30  to 2019-03-26 06:45,0.062,,
2019-03-26 06:45  to 2019-03-26 07:00,0.287,,
2019-03-26 07:00  to 2019-03-26 07:15,0.094,,
2019-03-26 07:15  to 2019-03-26 07:30,0.008,,
