========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-07-16 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-07-16 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2019-07-16 00:00  to 2019-07-16 00:15,0.000,,
2019-07-16 00:15  to 2019-07-16 00:30,0.000,,
2019-07-16 00:30  to 2019-07-16 00:45,0.000,,
2019-07-16 00:45  to 2019-07-16 01:00,0.000,,
2019-07-16 01:00  to 2019-07-16 01:15,0.000,,
2019-07-16 01:15  to 2019-07-16 01:30,0.000,,
2019-07-16 01:30  to 2019-07-16 01:45,0.000,,
2019-07-16 01:45  to 2019-07-16 02:00,0.000,,
2019-07-16 02:00  to 2019-07-16 02:15,0.000,,
2019-07-16 02:15  to 2019-07-16 02:30,0.000,,
2019-07-16 02:30  to 2019-07-16 02:45,0.000,,
2019-07-16 02:45  to 2019-07-16 03:00,0.000,,
2019-07-16 03:00  to 2019-07-16 03:15,0.000,,
2019-07-16 03:15  to 2019-07-16 03:30,0.000,,
2019-07-16 03:30  to 2019-07-16 03:45,0.000,,
2019-07-16 03:45  to 2019-07-16 04:00,0.000,,
2019-07-16 04:00  to 2019-07-16 04:15,0.000,,
2019-07-16 04:15  to 2019-07-16 04:30,0.000,,
2019-07-16 04:30  to 2019-07-16 04:45,0.000,,
2019-07-16 04:45  to 2019-07-16 05:00,0.000,,
2019-07-16 05:00  to 2019-07-16 05:15,0.000,,
2019-07-16 05:15  to 2019-07-16 05:30,0.000,,
2019-07-16 05:30  to 2019-07-16 05:45,0.000,,
2019-07-16 05:45  to 2019-07-16 06:00,0.000,,
2019-07-16 06:00  to 2019-07-16 06:15,0.000,,
2019-07-16 06:15  to 2019-07-16 06:30,0.000,,
2019-07-16 06:30  to 2019-07-16 06:45,0.019,,
2019-07-16 06:45  to 2019-07-16 07:00,0.058,,
2019-07-16 07:00  to 2019-07-16 07:15,0.036,,
2019-07-16 07:15  to 2019-07-16 07:30,0.099,,
2019-07-16 07:30  to 2019-07-16 07:45,0.027,,
2019-07-16 07:45  to 2019-07-16 08:00,0.000,,
2019-07-16 08:00  to 2019-07-16 08:15,0.000,,
2019-07-16 08:15  to 2019-07-16 08:30,0.000,,
2019-07-16 08:30  to 2019-07-16 08:45,0.000,,
2019-07-16 08:45  to 2019-07-16 09:00,0.000,,
2019-07-16 09:00  to 2019-07-16 09:15,0.000,,
2019-07-16 09:15  to 2019-07-16 09:30,0.000,,
2019-07-16 09:30  to 2019-07-16 09:45,0.000,,
2019-07-16 09:45  to 2019-07-16 10:00,0.000,,
2019-07-16 10:00  to 2019-07-16 10:15,0.000,,
2019-07-16 10:15  to 2019-07-16 10:30,0.000,,
2019-07-16 10:30  to 2019-07-16 10:45,0.000,,
2019-07-16 10:45  to 2019-07-16 11:00,0.000,,
2019-07-16 11:00  to 2019-07-16 11:15,0.000,,
2019-07-16 11:15  to 2019-07-16 11:30,0.000,,
2019-07-16 11:30  to 2019-07-16 11:45,0.108,,
2019-07-16 11:45  to 2019-07-16 12:00,0.259,,
