========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-03-03 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-03-03 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2019-03-03 00:00  to 2019-03-03 00:15,0.000,,
2019-03-03 00:15  to 2019-03-03 00:30,0.000,,
2019-03-03 00:30  to 2019-03-03 00:45,0.000,,
2019-03-03 00:45  to 2019-03-03 01:00,0.000,,
2019-03-03 01:00  to 2019-03-03 01:15,0.000,,
2019-03-03 01:15  to 2019-03-03 01:30,0.000,,
2019-03-03 01:30  to 2019-03-03 01:45,0.000,,
2019-03-03 01:45  to 2019-03-03 02:00,0.000,,
2019-03-03 02:00  to 2019-03-03 02:15,0.000,,
2019-03-03 02:15  to 2019-03-03 02:30,0.000,,
2019-03-03 02:30  to 2019-03-03 02:45,0.000,,
2019-03-03 02:45  to 2019-03-03 03:00,0.000,,
2019-03-03 03:00  to 2019-03-03 03:15,0.000,,
2019-03-03 03:15  to 2019-03-03 03:30,0.000,,
2019-03-03 03:30  to 2019-03-03 03:45,0.000,,
2019-03-03 03:45  to 2019-03-03 04:00,0.000,,
2019-03-03 04:00  to 2019-03-03 04:15,0.000,,
2019-03-03 04:15  to 2019-03-03 04:30,0.000,,
2019-03-03 04:30  to 2019-03-03 04:45,0.000,,
2019-03-03 04:45  to 2019-03-03 05:00,0.000,,
2019-03-03 05:00  to 2019-03-03 05:15,0.000,,
2019-03-03 05:15  to 2019-03-03 05:30,0.000,,
2019-03-03 05:30  to 2019-03-03 05:45,0.000,,
2019-03-03 05:45  to 2019-03-03 06:00,0.000,,
2019-03-03 06:00  to 2019-03-03 06:15,0.000,,
2019-03-03 06:15  to 2019-03-03 06:30,0.000,,
2019-03-03 06:30  to 2019-03-03 06:45,0.000,,
2019-03-03 06:45  to 2019-03-03 07:00,0.000,,
2019-03-03 07:00  to 2019-03-03 07:15,0.000,,
2019-03-03 07:15  to 2019-03-03 07:30,0.000,,
2019-03-03 07:30  to 2019-03-03 07:45,0.000,,
2019-03-03 07:45  to 2019-03-03 08:00,0.000,,
2019-03-03 08:00  to 2019-03-03 08:15,0.000,,
2019-03-03 08:15  to 2019-03-03 08:30,0.000,,
2019-03-03 08:30  to 2019-03-03 08:45,0.002,,
2019-03-03 08:45  to 2019-03-03 09:00,0.001,,
2019-03-03 09:00  to 2019-03-03 09:15,0.000,,
2019-03-03 09:15  to 2019-03-03 09:30,0.080,,
2019-03-03 09:30  to 2019-03-03 09:45,0.188,,
2019-03-03 09:45  to 2019-03-03 10:00,0.213,,
2019-03-03 10:00  to 2019-03-03 10:15,0.174,,
2019-03-03 10:15  to 2019-03-03 10:30,0.033,,
2019-03-03 10:30  to 2019-03-03 10:45,0.269,,
2019-03-03 10:45  to 2019-03-03 11:00,0.328,,
2019-03-03 11:00  to 2019-03-03 11:15,0.312,,
2019-03-03 11:15  to 2019-03-03 11:30,0.328,,
2019-03-03 11:30  to 2019-03-03 11:45,0.302,,
2019-03-03 11:45  to 2019-03-03 12:00,0.150,,
2019-03-03 12:00  to 2019-03-03 12:15,0.189,,
2019-03-03 12:15  to 2019-03-03 12:30,0.318,,
2019-03-03 12:30  to 2019-03-03 12:45,0.293,,
2019-03-03 12:45  to 2019-03-03 13:00,0.359,,
2019-03-03 13:00  to 2019-03-03 13:15,0.363,,
2019-03-03 13:15  to 2019-03-03 13:30,0.310,,
2019-03-03 13:30  to 2019-03-03 13:45,0.167,,
2019-03-03 13:45  to 2019-03-03 14:00,0.142,,
2019-03-03 14:00  to 2019-03-03 14:15,0.207,,
2019-03-03 14:15  to 2019-03-03 14:30,0.039,,
2019-03-03 14:30  to 2019-03-03 14:45,0.065,,
2019-03-03 14:45  to 2019-03-03 15:00,0.076,,
2019-03-03 15:00  to 2019-03-03 15:15,0.021,,
2019-03-03 15:15  to 2019-03-03 15:30,0.014,,
2019-03-03 15:30  to 2019-03-03 15:45,0.060,,
2019-03-03 15:45  to 2019-03-03 16:00,0.102,,
2019-03-03 16:00  to 2019-03-03 16:15,0.009,,
2019-03-03 16:15  to 2019-03-03 16:30,0.050,,
2019-03-03 16:30  to 2019-03-03 16:45,0.001,,
2019-03-03 16:45  to 2019-03-03 17:00,0.000,,
