========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-10-14 00:00 for 11 days,,,
========================================
Interval Blockdata for period starting:, 2019-10-14 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2019-10-14 00:00  to 2019-10-14 00:15,0.000,,
2019-10-14 00:15  to 2019-10-14 00:30,0.000,,
2019-10-14 00:30  to 2019-10-14 00:45,0.000,,
2019-10-14 00:45  to 2019-10-14 01:00,0.000,,
2019-10-14 01:00  to 2019-10-14 01:15,0.000,,
2019-10-14 01:15  to 2019-10-14 01:30,0.000,,
2019-10-14 01:30  to 2019-10-14 01:45,0.000,,
2019-10-14 01:45  to 2019-10-14 02:00,0.000,,
2019-10-14 02:00  to 2019-10-14 02:15,0.000,,
2019-10-14 02:15  to 2019-10-14 02:30,0.000,,
2019-10-14 02:30  to 2019-10-14 02:45,0.000,,
2019-10-14 02:45  to 2019-10-14 03:00,0.000,,
2019-10-14 03:00  to 2019-10-14 03:15,0.000,,
2019-10-14 03:15  to 2019-10-14 03:30,0.000,,
2019-10-14 03:30  to 2019-10-14 03:45,0.000,,
2019-10-14 03:45  to 2019-10-14 04:00,0.000,,
2019-10-14 04:00  to 2019-10-14 04:15,0.000,,
2019-10-14 04:15  to 2019-10-14 04:30,0.000,,
2019-10-14 04:30  to 2019-10-14 04:45,0.000,,
2019-10-14 04:45  to 2019-10-14 05:00,0.000,,
2019-10-14 05:00  to 2019-10-14 05:15,0.000,,
2019-10-14 05:15  to 2019-10-14 05:30,0.000,,
2019-10-14 05:30  to 2019-10-14 05:45,0.000,,
2019-10-14 05:45  to 2019-10-14 06:00,0.000,,
2019-10-14 06:00  to 2019-10-14 06:15,0.000,,
2019-10-14 06:15  to 2019-10-14 06:30,0.000,,
2019-10-14 06:30  to 2019-10-14 06:45,0.000,,
2019-10-14 06:45  to 2019-10-14 07:00,0.000,,
2019-10-14 07:00  to 2019-10-14 07:15,0.009,,
2019-10-14 07:15  to 2019-10-14 07:30,0.070,,
2019-10-14 07:30  to 2019-10-14 07:45,0.052,,
2019-10-14 07:45  to 2019-10-14 08:00,0.148,,
2019-10-14 08:00  to 2019-10-14 08:15,0.200,,
2019-10-14 08:15  to 2019-10-14 08:30,0.249,,
2019-10-14 08:30  to 2019-10-14 08:45,0.287,,
2019-10-14 08:45  to 2019-10-14 09:00,0.329,,
2019-10-14 09:00  to 2019-10-14 09:15,0.352,,
2019-10-14 09:15  to 2019-10-14 09:30,0.344,,
2019-10-14 09:30  to 2019-10-14 09:45,0.381,,
2019-10-14 09:45  to 2019-10-14 10:00,0.397,,
2019-10-14 10:00  to 2019-10-14 10:15,0.397,,
2019-10-14 10:15  to 2019-10-14 10:30,0.404,,
2019-10-14 10:30  to 2019-10-14 10:45,0.417,,
2019-10-14 10:45  to 2019-10-14 11:00,0.452,,
2019-10-14 11:00  to 2019-10-14 11:15,0.432,,
2019-10-14 11:15  to 2019-10-14 11:30,0.437,,
2019-10-14 11:30  to 2019-10-14 11:45,0.432,,
2019-10-14 11:45  to 2019-10-14 12:00,0.457,,
2019-10-14 12:00  to 2019-10-14 12:15,0.429,,
2019-10-14 12:15  to 2019-10-14 12:30,0.361,,
2019-10-14 12:30  to 2019-10-14 12:45,0.332,,
2019-10-14 12:45  to 2019-10-14 13:00,0.387,,
