========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-10-04 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-10-04 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2018-10-04 00:00  to 2018-10-04 00:15,0.000,,
2018-10-04 00:15  to 2018-10-04 00:30,0.000,,
2018-10-04 00:30  to 2018-10-04 00:45,0.000,,
2018-10-04 00:45  to 2018-10-04 01:00,0.000,,
2018-10-04 01:00  to 2018-10-04 01:15,0.000,,
2018-10-04 01:15  to 2018-10-04 01:30,0.000,,
2018-10-04 01:30  to 2018-10-04 01:45,0.000,,
2018-10-04 01:45  to 2018-10-04 02:00,0.000,,
2018-10-04 02:00  to 2018-10-04 02:15,0.000,,
2018-10-04 02:15  to 2018-10-04 02:30,0.000,,
2018-10-04 02:30  to 2018-10-04 02:45,0.000,,
2018-10-04 02:45  to 2018-10-04 03:00,0.000,,
2018-10-04 03:00  to 2018-10-04 03:15,0.000,,
2018-10-04 03:15  to 2018-10-04 03:30,0.000,,
2018-10-04 03:30  to 2018-10-04 03:45,0.000,,
2018-10-04 03:45  to 2018-10-04 04:00,0.000,,
2018-10-04 04:00  to 2018-10-04 04:15,0.000,,
2018-10-04 04:15  to 2018-10-04 04:30,0.000,,
2018-10-04 04:30  to 2018-10-04 04:45,0.000,,
2018-10-04 04:45  to 2018-10-04 05:00,0.000,,
2018-10-04 05:00  to 2018-10-04 05:15,0.000,,
2018-10-04 05:15  to 2018-10-04 05:30,0.000,,
2018-10-04 05:30  to 2018-10-04 05:45,0.000,,
2018-10-04 05:45  to 2018-10-04 06:00,0.000,,
2018-10-04 06:00  to 2018-10-04 06:15,0.000,,
2018-10-04 06:15  to 2018-10-04 06:30,0.000,,
2018-10-04 06:30  to 2018-10-04 06:45,0.000,,
2018-10-04 06:45  to 2018-10-04 07:00,0.000,,
2018-10-04 07:00  to 2018-10-04 07:15,0.020,,
2018-10-04 07:15  to 2018-10-04 07:30,0.097,,
2018-10-04 07:30  to 2018-10-04 07:45,0.131,,
2018-10-04 07:45  to 2018-10-04 08:00,0.151,,
2018-10-04 08:00  to 2018-10-04 08:15,0.243,,
2018-10-04 08:15  to 2018-10-04 08:30,0.292,,
2018-10-04 08:30  to 2018-10-04 08:45,0.314,,
2018-10-04 08:45  to 2018-10-04 09:00,0.352,,
2018-10-04 09:00  to 2018-10-04 09:15,0.265,,
2018-10-04 09:15  to 2018-10-04 09:30,0.241,,
2018-10-04 09:30  to 2018-10-04 09:45,0.327,,
2018-10-04 09:45  to 2018-10-04 10:00,0.337,,
2018-10-04 10:00  to 2018-10-04 10:15,0.352,,
2018-10-04 10:15  to 2018-10-04 10:30,0.461,,
2018-10-04 10:30  to 2018-10-04 10:45,0.470,,
2018-10-04 10:45  to 2018-10-04 11:00,0.443,,
2018-10-04 11:00  to 2018-10-04 11:15,0.467,,
2018-10-04 11:15  to 2018-10-04 11:30,0.469,,
2018-10-04 11:30  to 2018-10-04 11:45,0.459,,
2018-10-04 11:45  to 2018-10-04 12:00,0.443,,
2018-10-04 12:00  to 2018-10-04 12:15,0.442,,
2018-10-04 12:15  to 2018-10-04 12:30,0.431,,
2018-10-04 12:30  to 2018-10-04 12:45,0.403,,
2018-10-04 12:45  to 2018-10-04 13:00,0.411,,
2018-10-04 13:00  to 2018-10-04 13:15,0.380,,
2018-10-04 13:15  to 2018-10-04 13:30,0.390,,
2018-10-04 13:30  to 2018-10-04 13:45,0.369,,
2018-10-04 13:45  to 2018-10-04 14:00,0.329,,
2018-10-04 14:00  to 2018-10-04 14:15,0.324,,
2018-10-04 14:15  to 2018-10-04 14:30,0.296,,
2018-10-04 14:30  to 2018-10-04 14:45,0.258,,
2018-10-04 14:45  to 2018-10-04 15:00,0.238,,
2018-10-04 15:00  to 2018-10-04 15:15,0.221,,
2018-10-04 15:15  to 2018-10-04 15:30,0.195,,
2018-10-04 15:30  to 2018-10-04 15:45,0.146,,
2018-10-04 15:45  to 2018-10-04 16:00,0.087,,
2018-10-04 16:00  to 2018-10-04 16:15,0.053,,
2018-10-04 16:15  to 2018-10-04 16:30,0.044,,
2018-10-04 16:30  to 2018-10-04 16:45,0.009,,
2018-10-04 16:45  to 2018-10-04 17:00,0.000,,
2018-10-04 17:00  to 2018-10-04 17:15,0.000,,
2018-10-04 17:15  to 2018-10-04 17:30,0.000,,
2018-10-04 17:30  to 2018-10-04 17:45,0.000,,
2018-10-04 17:45  to 2018-10-04 18:00,0.000,,
2018-10-04 18:00  to 2018-10-04 18:15,0.000,,
2018-10-04 18:15  to 2018-10-04 18:30,0.000,,
2018-10-04 18:30  to 2018-10-04 18:45,0.000,,
2018-10-04 18:45  to 2018-10-04 19:00,0.000,,
2018-10-04 19:00  to 2018-10-04 19:15,0.000,,
2018-10-04 19:15  to 2018-10-04 19:30,0.000,,
2018-10-04 19:30  to 2018-10-04 19:45,0.000,,
2018-10-04 19:45  to 2018-10-04 20:00,0.000,,
2018-10-04 20:00  to 2018-10-04 20:15,0.000,,
2018-10-04 20:15  to 2018-10-04 20:30,0.000,,
2018-10-04 20:30  to 2018-10-04 20:45,0.000,,
2018-10-04 20:45  to 2018-10-04 21:00,0.000,,
2018-10-04 21:00  to 2018-10-04 21:15,0.000,,
2018-10-04 21:15  to 2018-10-04 21:30,0.000,,
2018-10-04 21:30  to 2018-10-04 21:45,0.000,,
2018-10-04 21:45  to 2018-10-04 22:00,0.000,,
2018-10-04 22:00  to 2018-10-04 22:15,0.000,,
2018-10-04 22:15  to 2018-10-04 22:30,0.000,,
2018-10-04 22:30  to 2018-10-04 22:45,0.000,,
2018-10-04 22:45  to 2018-10-04 23:00,0.000,,
