========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-08-05 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-08-05 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
   2018-08-05 00:00  to 2018-08-05 00:15,0.000,,
2018-08-05 00:15  to 2018-08-05 00:30,0.000,,
2018-08-05 00:30  to 2018-08-05 00:45,0.000,,
2018-08-05 00:45  to 2018-08-05 01:00,0.000,,
2018-08-05 01:00  to 2018-08-05 01:15,0.000,,
2018-08-05 01:15  to 2018-08-05 01:30,0.000,,
2018-08-05 01:30  to 2018-08-05 01:45,0.000,,
2018-08-05 01:45  to 2018-08-05 02:00,0.000,,
2018-08-05 02:00  to 2018-08-05 02:15,0.000,,
2018-08-05 02:15  to 2018-08-05 02:30,0.000,,
2018-08-05 02:30  to 2018-08-05 02:45,0.000,,
2018-08-05 02:45  to 2018-08-05 03:00,0.000,,
2018-08-05 03:00  to 2018-08-05 03:15,0.000,,
2018-08-05 03:15  to 2018-08-05 03:30,0.000,,
2018-08-05 03:30  to 2018-08-05 03:45,0.000,,
2018-08-05 03:45  to 2018-08-05 04:00,0.000,,
2018-08-05 04:00  to 2018-08-05 04:15,0.000,,
2018-08-05 04:15  to 2018-08-05 04:30,0.000,,
2018-08-05 04:30  to 2018-08-05 04:45,0.000,,
2018-08-05 04:45  to 2018-08-05 05:00,0.000,,
2018-08-05 05:00  to 2018-08-05 05:15,0.000,,
2018-08-05 05:15  to 2018-08-05 05:30,0.000,,
2018-08-05 05:30  to 2018-08-05 05:45,0.000,,
2018-08-05 05:45  to 2018-08-05 06:00,0.000,,
2018-08-05 06:00  to 2018-08-05 06:15,0.000,,
2018-08-05 06:15  to 2018-08-05 06:30,0.000,,
2018-08-05 06:30  to 2018-08-05 06:45,0.000,,
2018-08-05 06:45  to 2018-08-05 07:00,0.000,,
2018-08-05 07:00  to 2018-08-05 07:15,0.000,,
2018-08-05 07:15  to 2018-08-05 07:30,0.000,,
2018-08-05 07:30  to 2018-08-05 07:45,0.000,,
2018-08-05 07:45  to 2018-08-05 08:00,0.000,,
2018-08-05 08:00  to 2018-08-05 08:15,0.000,,
2018-08-05 08:15  to 2018-08-05 08:30,0.000,,
2018-08-05 08:30  to 2018-08-05 08:45,0.000,,
2018-08-05 08:45  to 2018-08-05 09:00,0.000,,
2018-08-05 09:00  to 2018-08-05 09:15,0.065,,
2018-08-05 09:15  to 2018-08-05 09:30,0.267,,
2018-08-05 09:30  to 2018-08-05 09:45,0.283,,
2018-08-05 09:45  to 2018-08-05 10:00,0.381,,
2018-08-05 10:00  to 2018-08-05 10:15,0.412,,
2018-08-05 10:15  to 2018-08-05 10:30,0.383,,
2018-08-05 10:30  to 2018-08-05 10:45,0.375,,
2018-08-05 10:45  to 2018-08-05 11:00,0.322,,
2018-08-05 11:00  to 2018-08-05 11:15,0.218,,
2018-08-05 11:15  to 2018-08-05 11:30,0.000,,
2018-08-05 11:30  to 2018-08-05 11:45,0.000,,
2018-08-05 11:45  to 2018-08-05 12:00,0.000,,
2018-08-05 12:00  to 2018-08-05 12:15,0.146,,
2018-08-05 12:15  to 2018-08-05 12:30,0.156,,
2018-08-05 12:30  to 2018-08-05 12:45,0.046,,
2018-08-05 12:45  to 2018-08-05 13:00,0.000,,
2018-08-05 13:00  to 2018-08-05 13:15,0.000,,
2018-08-05 13:15  to 2018-08-05 13:30,0.000,,
2018-08-05 13:30  to 2018-08-05 13:45,0.081,,
2018-08-05 13:45  to 2018-08-05 14:00,0.205,,
2018-08-05 14:00  to 2018-08-05 14:15,0.229,,
2018-08-05 14:15  to 2018-08-05 14:30,0.170,,
