Random_ID,STU.MISC3
20,FYFA18
25,FYFA18
38,FYFA18
39,FYFA18
45,FYFA18
48,FYFA18
49,FYFA18
54,FYFA18
117,FYFA18
135,FYFA18
157,FYFA18
171,FYFA18
215,FYFA18
217,FYFA18
259,FYFA18
280,FYFA18
286,FYFA18
288,FYFA18
321,FYFA18
322,FYFA18
350,FYFA18
352,FYFA18
388,FYFA18
409,FYFA18
412,FYFA18
415,FYFA18
418,FYFA18
427,FYFA18
463,FYFA18
474,FYFA18
511,FYFA18
536,FYFA18
544,FYFA18
561,FYFA18
623,FYFA18
629,FYFA18
656,FYFA18
658,FYFA18
666,FYFA18
674,FYFA18
684,FYFA18
704,FYFA18
751,FYFA18
754,FYFA18
758,FYFA18
774,FYFA18
837,FYFA18
857,FYFA18
885,FYFA18
901,FYFA18
913,FYFA18
915,FYFA18
951,FYFA18
954,FYFA18
968,FYFA18
971,FYFA18
984,FYFA18
992,FYFA18
1024,FYFA18
1073,FYFA18
1083,FYFA18
1086,FYFA18
1099,FYFA18
1107,FYFA18
1176,FYFA18
1177,FYFA18
1211,FYFA18
1221,FYFA18
1224,FYFA18
1244,FYFA18
1248,FYFA18
1271,FYFA18
1307,FYFA18
1315,FYFA18
1316,FYFA18
1319,FYFA18
1323,FYFA18
1324,FYFA18
1336,FYFA18
1375,FYFA18
1379,FYFA18
1381,FYFA18
1386,FYFA18
1389,FYFA18
1405,FYFA18
1427,FYFA18
1432,FYFA18
1447,FYFA18
1467,FYFA18
1521,FYFA18
1535,FYFA18
1572,FYFA18
1588,FYFA18
1596,FYFA18
1604,FYFA18
1660,FYFA18
1663,FYFA18
1685,FYFA18
1719,FYFA18
1720,FYFA18
1728,FYFA18
1753,FYFA18
1769,FYFA18
1771,FYFA18
1776,FYFA18
1808,FYFA18
1856,FYFA18
1884,FYFA18
1908,FYFA18
1914,FYFA18
1916,FYFA18
1922,FYFA18
1968,FYFA18
1970,FYFA18
2065,FYFA18
2103,FYFA18
2106,FYFA18
2155,FYFA18
2224,FYFA18
2227,FYFA18
2261,FYFA18
2268,FYFA18
2270,FYFA18
2284,FYFA18
2289,FYFA18
2309,FYFA18
2335,FYFA18
2364,FYFA18
2368,FYFA18
2436,FYFA18
2495,FYFA18
2538,FYFA18
2543,FYFA18
2587,FYFA18
2590,FYFA18
2592,FYFA18
2613,FYFA18
2641,FYFA18
2658,FYFA18
2670,FYFA18
2672,FYFA18
2675,FYFA18
2683,FYFA18
2690,FYFA18
2713,FYFA18
2758,FYFA18
2806,FYFA18
2811,FYFA18
2819,FYFA18
2822,FYFA18
2845,FYFA18
2857,FYFA18
2870,FYFA18
2871,FYFA18
2897,FYFA18
2901,FYFA18
2907,FYFA18
2962,FYFA18
2966,FYFA18
2972,FYFA18
2979,FYFA18
2988,FYFA18
3012,FYFA18
3015,FYFA18
3018,FYFA18
3077,FYFA18
3091,FYFA18
3123,FYFA18
3144,FYFA18
3145,FYFA18
3151,FYFA18
