DateTimeStamp,Random_ID,AcadTerm,flg_NetDep,City,State,Gender,ACTcomp,SATcomp,Best_Test_ACT_Equivalent,HSGPA,Ath1,Ath2,Ath3,Religion
8/10/2018 7:50,1,18/FA,0,Cascade,IA,M,20,,20,2.22,FOOTBALL,,,Roman Catholic
8/10/2018 7:50,6,18/FA,0,Crystal Lake,IL,F,25,,25,3.04,,,,Roman Catholic
8/10/2018 7:50,8,18/FA,0,Manteno,IL,M,,880,16,2.77,FOOTBALL,,,Other
8/10/2018 7:50,12,18/FA,0,New Lenox,IL,F,18,,18,2.75,CROSS COUNTRY,SOCCER,TRACK,Roman Catholic
8/10/2018 7:50,13,18/FA,0,Waukegan,IL,F,18,,18,3.37,SOCCER,,,Roman Catholic
8/10/2018 7:50,15,18/FA,0,Jesup,IA,F,21,,21,,,,,Roman Catholic
8/10/2018 7:50,20,18/FA,1,Chicago,IL,M,25,,25,4,BASEBALL,GOLF,WRESTLING,Roman Catholic
8/10/2018 7:50,21,18/FA,0,Suring,WI,M,20,,20,3.31,BASKETBALL,TRACK,FOOTBALL,Roman Catholic
8/10/2018 7:50,25,18/FA,1,Dysart,IA,F,22,,22,3.842,GOLF,CHEERLEADING,,Roman Catholic
8/10/2018 7:50,34,18/FA,0,Unionville,IA,M,,,,,FOOTBALL,WRESTLING,TRACK,Methodist
8/10/2018 7:50,38,18/FA,1,Eugene,OR,M,19,1020,20,2.623,SOCCER,,,Roman Catholic
8/10/2018 7:50,39,18/FA,1,Manchester,IA,M,16,,16,3.142,FOOTBALL,,,Other
8/10/2018 7:50,45,18/FA,1,West Chicago,IL,F,17,,17,2.42,SOCCER,,,Christian
8/10/2018 7:50,48,18/FA,1,Mount Prospect,IL,F,,1310,28,3.89,BASKETBALL,,,Roman Catholic
8/10/2018 7:50,49,18/FA,1,Waunakee,WI,M,32,,32,3.74,FOOTBALL,TRACK,CROSS COUNTRY,Roman Catholic
8/10/2018 7:50,54,18/FA,1,Freeport,IL,F,18,,18,3.51,BASKETBALL,SOFTBALL,GOLF,Roman Catholic
8/10/2018 7:50,68,18/FA,0,Omaha,NE,F,19,,19,,SOCCER,,,Roman Catholic
8/10/2018 7:50,72,18/FA,0,Milwaukee,WI,M,,,,,FOOTBALL,,,Baptist
8/10/2018 7:50,89,18/FA,0,Dubuque,IA,M,22,,22,2.56,,,,Roman Catholic
8/10/2018 7:50,91,18/FA,0,Dekalb,IL,F,25,,25,3.93,SOCCER,,,Roman Catholic
8/10/2018 7:50,93,18/FA,0,Shelbyville,TN,M,23,,23,3.8,FOOTBALL,,,Christian
8/10/2018 7:50,97,18/FA,0,Shorewood,IL,M,17,1080,21,2.94,WRESTLING,,,Christian
8/10/2018 7:50,100,18/FA,0,Bettendorf,IA,M,17,,17,2.85,FOOTBALL,,,
8/10/2018 7:50,101,18/FA,0,Apple Valley,CA,F,,,,,TENNIS,,,Christian
8/10/2018 7:50,104,18/FA,0,Dubuque,IA,F,21,,21,3.816,,,,
8/10/2018 7:50,105,18/FA,0,Lisle,IL,M,20,,20,2.57,WRESTLING,FOOTBALL,BASEBALL,Roman Catholic
8/10/2018 7:50,106,18/FA,0,Freetown,,M,,,,,FOOTBALL,,,Baptist
8/10/2018 7:50,111,18/FA,0,Bettendorf,IA,M,17,,17,2.29,BASKETBALL,,,
8/10/2018 7:50,112,18/FA,0,Hazard,KY,M,,1130,23,,BASKETBALL,,,Muslim
8/10/2018 7:50,115,18/FA,0,Ashton,IL,M,,1310,28,3.8,SWIMMING,,,Methodist
8/10/2018 7:50,117,18/FA,1,Neenah,WI,M,23,,23,3.241,BASEBALL,,,Roman Catholic
8/10/2018 7:50,120,18/FA,0,Dekalb,IL,F,,,,,TRACK,,,Other
8/10/2018 7:50,127,18/FA,0,Des Moines,IA,M,,,,,WRESTLING,,,
8/10/2018 7:50,131,18/FA,1,Springfield,IL,M,,1130,23,2.845,SOCCER,,,Baptist
8/10/2018 7:50,135,18/FA,1,Onalaska,WI,M,25,,25,3.225,TENNIS,WRESTLING,SOCCER,Roman Catholic
8/10/2018 7:50,141,18/FA,0,Geneva,IL,M,,,,3.9,FOOTBALL,TRACK,,Roman Catholic
8/10/2018 7:50,148,18/FA,0,Chicago,IL,F,24,,24,3.83,SOCCER,,,Roman Catholic
8/10/2018 7:50,155,18/FA,0,Beloit,WI,F,20,,20,,,,,Roman Catholic
8/10/2018 7:50,157,18/FA,1,Aurora,IL,M,,1150,23,3.4,TRACK,,,Roman Catholic
8/10/2018 7:50,160,18/FA,0,Eleva,WI,M,26,,26,3.73,CROSS COUNTRY,BASKETBALL,,Roman Catholic
8/10/2018 7:50,162,18/FA,0,Mount Carroll,IL,M,19,1060,21,3.06,WRESTLING,,,
8/10/2018 7:50,164,18/FA,0,Cedar Rapids,IA,F,25,,25,,,,,Christian
8/10/2018 7:50,165,18/FA,0,Loves Park,IL,F,26,,26,4,CROSS COUNTRY,BASKETBALL,,Roman Catholic
8/10/2018 7:50,171,18/FA,1,Solon,IA,F,16,,16,3.403,SOFTBALL,TRACK,,Roman Catholic
8/10/2018 7:50,174,18/FA,0,Matteson,IL,M,24,,24,3.34,,,,Christian
8/10/2018 7:50,178,18/FA,0,Haslet,TX,M,,1120,22,3.04,BASKETBALL,,,Christian
8/10/2018 7:50,182,18/FA,0,Fontana,WI,M,30,,30,,BASEBALL,BASKETBALL,FOOTBALL,Roman Catholic
8/10/2018 7:50,184,18/FA,0,Wilmington,IL,M,,850,15,2.36,FOOTBALL,,,Christian
8/10/2018 7:50,200,18/FA,0,Justice,IL,F,,900,17,2.76,TRACK,,,Other
8/10/2018 7:50,202,18/FA,0,Belleville,IL,F,,,,,LACROSSE,,,Roman Catholic
8/10/2018 7:50,215,18/FA,1,Manlius,IL,F,,1100,22,3.3,BASKETBALL,VOLLEYBALL,,Lutheran
8/10/2018 7:50,217,18/FA,1,Oak Lawn,IL,M,20,,20,3.37,BASEBALL,,,Roman Catholic
8/10/2018 7:50,224,18/FA,0,Memphis,TN,F,,,,,,,,Christian
8/10/2018 7:50,235,18/FA,0,Durant,IA,M,18,,18,2.48,FOOTBALL,BASEBALL,TRACK,Other
8/10/2018 7:50,244,18/FA,1,Winnebago,IL,F,,990,19,3.113,,,,Episcopalian
8/10/2018 7:50,251,18/FA,0,Zearing,IA,M,23,,23,3.53,FOOTBALL,,,Christian
8/10/2018 7:50,253,18/FA,0,Chicago,IL,F,18,,18,3.1,SOFTBALL,,,Roman Catholic
8/10/2018 7:50,259,18/FA,1,Elgin,IL,F,27,,27,4,GOLF,,,Roman Catholic
8/10/2018 7:50,263,18/FA,0,Pontiac,IL,F,,1000,19,3.22,TRACK,,,Roman Catholic
