DateTimeStamp,Random_ID,AcadTerm,flg_NetDep,City,State,Gender,ACTcomp,SATcomp,Best_Test_ACT_Equivalent,HSGPA,Ath1,Ath2,Ath3,Religion
8/11/2017,2,17/FA,0,Dubuque,IA,F,,,,,,,,
8/11/2017,4,17/FA,0,Muscatine,IA,M,18,,18,,FOOTBALL,BASEBALL,BASKETBALL,Baptist
8/11/2017,7,17/FA,0,Chicago,IL,M,19,,19,1.8,TRACK,FOOTBALL,,
8/11/2017,9,17/FA,0,Machesney Park,IL,F,23,,23,3.48,,,,Roman Catholic
8/11/2017,10,17/FA,0,Johnston,IA,M,19,,19,3.54,FOOTBALL,BASKETBALL,,Roman Catholic
8/11/2017,22,17/FA,0,Chicago,IL,F,,,,,,,,Roman Catholic
8/11/2017,23,17/FA,1,Oak Lawn,IL,M,21,,21,4,VOLLEYBALL,,,
8/11/2017,26,17/FA,0,San Tan Valley,AZ,M,15,,15,,BASKETBALL,VOLLEYBALL,,
8/11/2017,30,17/FA,0,Plainfield,IL,M,18,,18,2.96,FOOTBALL,,,Roman Catholic
8/11/2017,33,17/FA,0,Evergreen Park,IL,M,26,,26,3.2,TENNIS,,,Roman Catholic
8/11/2017,35,17/FA,0,Oak Forest,IL,M,,,,,,,,Agnostic
8/11/2017,37,17/FA,0,Minneapolis,MN,F,20,,20,3.13,BASKETBALL,SOCCER,LACROSSE,Baptist
8/11/2017,47,17/FA,0,Lancaster,WI,F,20,,20,3,VOLLEYBALL,SOFTBALL,,Roman Catholic
8/11/2017,51,17/FA,0,North Las Vegas,NV,M,16,,16,3.42,,,,Christian
8/11/2017,52,17/FA,0,Huntley,IL,M,30,,30,3.23,BASEBALL,,,Roman Catholic
8/11/2017,58,17/FA,1,Evergreen Park,IL,M,23,,23,3.28,CROSS COUNTRY,TRACK,,Christian
8/11/2017,60,17/FA,0,Cedar Rapids,IA,M,25,,25,3.75,,,,Roman Catholic
8/11/2017,62,17/FA,1,Mokena,IL,F,21,,21,4,CHEERLEADER,,,
8/11/2017,70,17/FA,0,Tucson,AZ,M,20,,20,2.2,VOLLEYBALL,,,Roman Catholic
8/11/2017,71,17/FA,0,Northbrook,IL,M,26,,26,3.21,BASEBALL,,,Jewish
8/11/2017,74,17/FA,0,Oak Forest,IL,M,24,,24,3.99,WRESTLING,,,Roman Catholic
8/11/2017,81,17/FA,0,Lone Tree,IA,M,20,,20,3.48,TRACK,BASEBALL,BASKETBALL,Roman Catholic
8/11/2017,83,17/FA,0,Tiffin,IA,M,21,,21,3.17,FOOTBALL,,,
8/11/2017,85,17/FA,0,Memphis,TN,F,22,,22,3.48,,,,
8/11/2017,86,17/FA,0,Chicago,IL,M,25,,25,3,FOOTBALL,,,Roman Catholic
8/11/2017,90,17/FA,0,Crystal Lake,IL,F,28,,28,4,TENNIS,,,Roman Catholic
8/11/2017,92,17/FA,0,Libertyville,IL,F,22,,22,2.71,SOCCER,,,Roman Catholic
8/11/2017,94,17/FA,0,Mundelein,IL,F,24,,24,4,SWIMMING,VOLLEYBALL,,Roman Catholic
8/11/2017,102,17/FA,0,Tempe,AZ,M,,,,,BASKETBALL,,,Christian
8/11/2017,107,17/FA,0,Evergreen Park,IL,M,22,,22,2.37,VOLLEYBALL,,,Roman Catholic
8/11/2017,114,17/FA,0,Carmel,IN,M,24,1180,24,2.96,VOLLEYBALL,,,Christian
8/11/2017,116,17/FA,0,Shullsburg,WI,F,18,,18,3.15,VOLLEYBALL,SOFTBALL,,Christian
8/11/2017,119,17/FA,0,Oregon,WI,F,24,,24,3.94,,,,Roman Catholic
8/11/2017,122,17/FA,0,Palmdale,CA,F,,,,,,,,Christian
8/11/2017,125,17/FA,0,Polo,IL,F,,,,,SOFTBALL,VOLLEYBALL,TRACK,Roman Catholic
8/11/2017,126,17/FA,0,Basking Ridge,NJ,M,,,,,VOLLEYBALL,,,Hindu
8/11/2017,128,17/FA,0,Johnston,IA,F,,,,,,,,Roman Catholic
8/11/2017,130,17/FA,0,Potosi,WI,M,21,,21,3.975,,,,Roman Catholic
8/11/2017,132,17/FA,1,Bellevue,IA,M,22,,22,3.323,TRACK,FOOTBALL,,
8/11/2017,142,17/FA,0,Davenport,IA,M,,,,,BASEBALL,BASKETBALL,FOOTBALL,
8/11/2017,147,17/FA,0,Independence,IA,F,20,,20,3.54,BASKETBALL,VOLLEYBALL,TRACK,Christian
8/11/2017,150,17/FA,0,Dubuque,IA,M,25,,25,3.13,FOOTBALL,,,
8/11/2017,151,17/FA,0,Saint Charles,MO,M,26,1230,26,2.55,VOLLEYBALL,,,
8/11/2017,153,17/FA,0,Lagos,,M,,,,,,,,
8/11/2017,159,17/FA,0,Albuquerque,NM,F,,,,,SWIMMING,,,Roman Catholic
8/11/2017,166,17/FA,0,Naperville,IL,M,22,,22,3.08,CROSS COUNTRY,TRACK,,Roman Catholic
8/11/2017,172,17/FA,1,Ankeny,IA,F,27,,27,4,SWIMMING,,,Roman Catholic
8/11/2017,175,17/FA,1,Mankato,MN,M,20,,20,3.65,SOCCER,TRACK,FOOTBALL,
8/11/2017,177,17/FA,1,Lemont,IL,M,23,,23,3.22,FOOTBALL,LACROSSE,WRESTLING,Christian
8/11/2017,179,17/FA,0,Batavia,IL,F,24,,24,3.46,VOLLEYBALL,,,Roman Catholic
8/11/2017,180,17/FA,0,Naperville,IL,M,27,,27,3.6,SOCCER,CROSS COUNTRY,,Roman Catholic
8/11/2017,183,17/FA,0,Epworth,IA,M,27,,27,,CROSS COUNTRY,FOOTBALL,,Roman Catholic
8/11/2017,191,17/FA,0,Naperville,IL,F,,,,,CHEERLEADER,,,Roman Catholic
8/11/2017,197,17/FA,0,Clinton,IA,F,19,,19,3.07,SOCCER,,,Methodist
8/11/2017,198,17/FA,0,Waukegan,IL,M,15,,15,2.69,,,,Other
8/11/2017,201,17/FA,0,Hammond,IN,F,22,,22,4,VOLLEYBALL,,,Other
8/11/2017,203,17/FA,0,Maurepas,LA,M,,,,,,,,
8/11/2017,205,17/FA,0,Morton Grove,IL,M,,,,,TENNIS,WRESTLING,,Other
8/11/2017,208,17/FA,1,Lena,IL,F,28,,28,4,SOFTBALL,VOLLEYBALL,BASKETBALL,Lutheran
8/11/2017,209,17/FA,0,Cedar Rapids,IA,F,22,,22,4,VOLLEYBALL,SOFTBALL,BASKETBALL,
8/11/2017,211,17/FA,1,Schaumburg,IL,F,24,,24,3.45,SOCCER,,,Roman Catholic
8/11/2017,218,17/FA,0,Dubuque,IA,M,,,,,SOCCER,,,Christian
8/11/2017,220,17/FA,0,Dubuque,IA,M,22,,22,3.41,TENNIS,,,Roman Catholic
8/11/2017,222,17/FA,1,Arlington Heights,IL,M,33,,33,4,SOCCER,,,Agnostic
8/11/2017,234,17/FA,0,Chicago,IL,F,18,,18,2.76,,,,Roman Catholic
8/11/2017,236,17/FA,0,Sterling,IL,F,24,,24,4,CROSS COUNTRY,TRACK,,Roman Catholic
8/11/2017,238,17/FA,0,Cedar Rapids,IA,M,34,,34,4,BASEBALL,FOOTBALL,WRESTLING,
8/11/2017,239,17/FA,0,Chicago,IL,F,19,,19,3.49,SOFTBALL,,,Roman Catholic
8/11/2017,245,17/FA,0,Hartland,WI,F,22,,22,3.33,LACROSSE,,,Roman Catholic
8/11/2017,246,17/FA,0,Chicago,IL,F,20,,20,2.99,,,,Roman Catholic
8/11/2017,247,17/FA,0,Moville,IA,M,19,,19,3.7,GOLF,,,Methodist
8/11/2017,252,17/FA,1,Wilmington,IL,M,20,,20,2.5,FOOTBALL,,,
8/11/2017,254,17/FA,1,Stratford,WI,M,23,,23,3.898,BASKETBALL,,,Lutheran
8/11/2017,257,17/FA,1,Dekalb,IL,M,21,,21,2.6,BASEBALL,FOOTBALL,,Christian
8/11/2017,262,17/FA,0,Beloit,WI,M,,,,,,,,Christian
8/11/2017,269,17/FA,1,Winterset,IA,M,25,,25,3.602,SWIMMING,,,Roman Catholic
8/11/2017,272,17/FA,0,Mount Horeb,WI,M,24,,24,3.29,BASKETBALL,SOCCER,,
8/11/2017,279,17/FA,0,La Motte,IA,M,,,,,WRESTLING,,,Roman Catholic
8/11/2017,284,17/FA,0,Zion,IL,F,,,,,,,,Baptist
8/11/2017,289,17/FA,1,Wilmington,IL,M,22,,22,3.85,FOOTBALL,,,Roman Catholic
8/11/2017,290,17/FA,0,Verona,WI,F,,,,,,,,
8/11/2017,295,17/FA,0,Beloit,WI,M,,,,,GOLF,,,Roman Catholic
8/11/2017,301,17/FA,0,Dixon,IL,M,26,,26,3.51,SOCCER,,,
8/11/2017,303,17/FA,0,Indianola,IA,M,15,,15,3.3,TRACK,CROSS COUNTRY,,Roman Catholic
8/11/2017,304,17/FA,0,Frankfort,IL,F,19,,19,2.98,,,,Christian
