Random_ID,STU.MISC3
23,FYFA17
58,FYFA17
62,FYFA17
132,FYFA17
172,FYFA17
175,FYFA17
177,FYFA17
208,FYFA17
211,FYFA17
222,FYFA17
252,FYFA17
254,FYFA17
257,FYFA17
269,FYFA17
305,FYFA17
313,FYFA17
317,FYFA17
336,FYFA17
355,FYFA17
363,FYFA17
384,FYFA17
416,FYFA17
439,FYFA17
453,FYFA17
472,FYFA17
535,FYFA17
543,FYFA17
564,FYFA17
589,FYFA17
610,FYFA17
624,FYFA17
632,FYFA17
635,FYFA17
648,FYFA17
661,FYFA17
662,FYFA17
672,FYFA17
708,FYFA17
709,FYFA17
712,FYFA17
729,FYFA17
731,FYFA17
743,FYFA17
760,FYFA17
844,FYFA17
849,FYFA17
882,FYFA17
1001,FYFA17
1050,FYFA17
1052,FYFA17
1055,FYFA17
1056,FYFA17
1061,FYFA17
1084,FYFA17
1121,FYFA17
1151,FYFA17
1155,FYFA17
1171,FYFA17
1188,FYFA17
1217,FYFA17
1222,FYFA17
1243,FYFA17
1279,FYFA17
1308,FYFA17
1313,FYFA17
1347,FYFA17
1352,FYFA17
1419,FYFA17
1446,FYFA17
1449,FYFA17
1450,FYFA17
1459,FYFA17
1499,FYFA17
1510,FYFA17
1528,FYFA17
1544,FYFA17
1547,FYFA17
1566,FYFA17
1570,FYFA17
1573,FYFA17
1575,FYFA17
1578,FYFA17
1581,FYFA17
1583,FYFA17
1611,FYFA17
1642,FYFA17
1665,FYFA17
1666,FYFA17
1692,FYFA17
1714,FYFA17
1722,FYFA17
1745,FYFA17
1767,FYFA17
1790,FYFA17
1815,FYFA17
1931,FYFA17
1952,FYFA17
1958,FYFA17
1976,FYFA17
2021,FYFA17
2101,FYFA17
2134,FYFA17
2138,FYFA17
2202,FYFA17
2216,FYFA17
2218,FYFA17
2230,FYFA17
2254,FYFA17
2255,FYFA17
2263,FYFA17
2291,FYFA17
2296,FYFA17
2307,FYFA17
2312,FYFA17
2336,FYFA17
2350,FYFA17
2393,FYFA17
2397,FYFA17
2404,FYFA17
2408,FYFA17
2466,FYFA17
2469,FYFA17
2500,FYFA17
2522,FYFA17
2534,FYFA17
2573,FYFA17
2589,FYFA17
2605,FYFA17
2643,FYFA17
2662,FYFA17
2676,FYFA17
2679,FYFA17
2692,FYFA17
2694,FYFA17
2707,FYFA17
2711,FYFA17
2734,FYFA17
2740,FYFA17
2747,FYFA17
2766,FYFA17
2776,FYFA17
2797,FYFA17
2805,FYFA17
2833,FYFA17
2836,FYFA17
2887,FYFA17
2916,FYFA17
2919,FYFA17
2969,FYFA17
2970,FYFA17
2974,FYFA17
2994,FYFA17
3000,FYFA17
3039,FYFA17
3043,FYFA17
3045,FYFA17
3095,FYFA17
3129,FYFA17
