DateTimeStamp,Random_ID,AcadTerm,flg_NetDep,City,State,Gender,ACTcomp,SATcomp,Best_Test_ACT_Equivalent,HSGPA,Ath1,Ath2,Ath3,Religion
8/9/2019,4435,19/FA,0,Dyersville,IA,F,25,,25,3.64,CHEERLEADER,,,Roman Catholic
8/9/2019,4436,19/FA,0,Chicago,IL,F,17,,17,2.68,GOLF,SOCCER,SWIMMING,Christian
8/9/2019,4441,19/FA,0,Kaukauna,WI,F,26,,26,4,SOFTBALL,BASKETBALL,GOLF,Roman Catholic
8/9/2019,4445,19/FA,0,Dixon,IL,M,,1290,27,3.31,TENNIS,WRESTLING,FOOTBALL,Methodist
8/9/2019,4451,19/FA,0,Oswego,IL,F,24,,24,4,BASKETBALL,,,Protestant
8/9/2019,4457,19/FA,1,Spring Grove,IL,M,,1460,32,4,BASEBALL,,,Protestant
8/9/2019,4469,19/FA,1,Le Claire,IA,F,16,,16,2.9,CHEERLEADER,,,Roman Catholic
8/9/2019,4470,19/FA,0,North Chicago,IL,F,22,,22,3.42,,,,Baptist
8/9/2019,4472,19/FA,1,Prairie Du Sac,WI,M,25,,25,3.03,BASKETBALL,,,Christian
8/9/2019,4473,19/FA,0,Geneseo,IL,M,,800,14,3.36,,,,Roman Catholic
8/9/2019,4474,19/FA,1,Glenview,IL,M,,850,15,2.65,SWIMMING,,,Christian
8/9/2019,4478,19/FA,0,New Lenox,IL,F,23,,23,4,CROSS COUNTRY,TRACK,TENNIS,Roman Catholic
8/9/2019,4479,19/FA,0,New Orleans,LA,M,22,,22,3.5,WRESTLING,,,Other
8/9/2019,4483,19/FA,1,Moline,IL,F,,880,16,3.725,SWIMMING,,,Presbyterian
8/9/2019,4485,19/FA,0,Ely,IA,F,35,,35,4,SOCCER,,,Christian
8/9/2019,4488,19/FA,0,Burlington,IA,M,19,,19,3.44,FOOTBALL,WRESTLING,,Roman Catholic
8/9/2019,4491,19/FA,0,Dubuque,IA,F,17,,17,3.21,,,,Christian
8/9/2019,4495,19/FA,0,Algonquin,IL,M,23,1360,29,3.38,,,,Roman Catholic
8/9/2019,4505,19/FA,0,Chicago,IL,F,,,,3.59,VOLLEYBALL,CROSS COUNTRY,,
8/9/2019,4511,19/FA,0,New Glarus,WI,M,,,,3.47,GOLF,FOOTBALL,BASKETBALL,Christian
8/9/2019,4515,19/FA,1,Yorkville,IL,M,17,,17,2.7,FOOTBALL,,,Protestant
8/9/2019,4520,19/FA,1,East Dubuque,IL,F,,1030,20,3.625,VOLLEYBALL,BASKETBALL,SOFTBALL,
8/9/2019,4522,19/FA,0,Roscoe,IL,F,,,,4,TENNIS,,,
8/9/2019,4523,19/FA,1,Onalaska,WI,F,27,,27,3.68,TENNIS,,,Roman Catholic
8/9/2019,4525,19/FA,1,Austin,TX,F,20,1100,22,3.365,SOFTBALL,,,Christian
8/9/2019,4526,19/FA,0,Dixon,IL,M,25,1290,27,3.55,FOOTBALL,,,Other
8/9/2019,4532,19/FA,0,Sun Prairie,WI,M,20,,20,,BASKETBALL,GOLF,,Christian
8/9/2019,4539,19/FA,0,Farley,IA,F,,,,,BASKETBALL,VOLLEYBALL,,Roman Catholic
8/9/2019,4547,19/FA,1,North Aurora,IL,M,,1340,28,3.696,VOLLEYBALL,,,Roman Catholic
8/9/2019,4548,19/FA,0,Villa Park,IL,M,,970,18,3.03,BASKETBALL,,,Christian
8/9/2019,4551,19/FA,0,Warren,IL,F,,1250,26,,BASKETBALL,VOLLEYBALL,,
8/9/2019,4555,19/FA,0,Memphis,TN,M,16,,16,3.19,,,,Baptist
8/9/2019,4556,19/FA,0,Kumasi,,F,,,,,,,,Roman Catholic
8/9/2019,4559,19/FA,1,East Dubuque,IL,F,20,990,20,3.58,VOLLEYBALL,SOFTBALL,BASKETBALL,Christian
8/9/2019,4567,19/FA,0,Arlington Heights,IL,F,18,,18,3.24,CROSS COUNTRY,SOCCER,,Roman Catholic
8/9/2019,4580,19/FA,0,Peosta,IA,M,,,,,BASKETBALL,FOOTBALL,BASEBALL,Roman Catholic
8/9/2019,4584,19/FA,1,Readstown,WI,F,23,,23,4,TRACK,VOLLEYBALL,BASKETBALL,Other
8/9/2019,4588,19/FA,1,Lindenhurst,IL,F,20,1070,21,3.87,TENNIS,,,Christian
8/9/2019,4590,19/FA,0,Kansas City,KS,M,15,,15,2.82,,,,
8/9/2019,4593,19/FA,1,Bogota,,F,,,,,CHEERLEADER,,,
8/9/2019,4599,19/FA,1,Cicero,IL,M,,1050,20,2.71,SOCCER,VOLLEYBALL,,Roman Catholic
8/9/2019,4602,19/FA,0,Cicero,IL,F,,780,14,2.94,BASKETBALL,VOLLEYBALL,,Roman Catholic
8/9/2019,4609,19/FA,1,East Dubuque,IL,M,,1240,26,4,FOOTBALL,,,
8/9/2019,4618,19/FA,0,Cambridge,IL,M,,1150,23,3.27,BASEBALL,,,
8/9/2019,4629,19/FA,0,Coggon,IA,M,22,,22,3.92,WRESTLING,FOOTBALL,,
8/9/2019,4634,19/FA,0,Cedar Rapids,IA,F,,,,,,,,Roman Catholic
8/9/2019,4643,19/FA,1,Norwalk,WI,M,23,,23,3.786,,,,Roman Catholic
8/9/2019,4646,19/FA,0,Frankfort,IL,M,,,,,,,,Christian
8/9/2019,4663,19/FA,0,Aurora,IL,M,31,,31,3.38,FOOTBALL,VOLLEYBALL,,Roman Catholic
8/9/2019,4667,19/FA,0,Hibbing,MN,M,,,,,SWIMMING,CROSS COUNTRY,TENNIS,
