Random_ID,STU.MISC3
5,FYFA16
36,FYFA16
55,FYFA16
66,FYFA16
82,FYFA16
109,FYFA16
118,FYFA16
129,FYFA16
133,FYFA16
144,FYFA16
145,FYFA16
152,FYFA16
190,FYFA16
194,FYFA16
210,FYFA16
213,FYFA16
229,FYFA16
270,FYFA16
281,FYFA16
310,FYFA16
378,FYFA16
390,FYFA16
433,FYFA16
448,FYFA16
477,FYFA16
482,FYFA16
494,FYFA16
634,FYFA16
652,FYFA16
659,FYFA16
725,FYFA16
733,FYFA16
789,FYFA16
823,FYFA16
838,FYFA16
848,FYFA16
864,FYFA16
872,FYFA16
886,FYFA16
911,FYFA16
934,FYFA16
957,FYFA16
967,FYFA16
979,FYFA16
989,FYFA16
1019,FYFA16
1023,FYFA16
1029,FYFA16
1034,FYFA16
1062,FYFA16
1134,FYFA16
1149,FYFA16
1152,FYFA16
1194,FYFA16
1232,FYFA16
1235,FYFA16
1255,FYFA16
1268,FYFA16
1272,FYFA16
1273,FYFA16
1283,FYFA16
1327,FYFA16
1372,FYFA16
1407,FYFA16
1428,FYFA16
1440,FYFA16
1441,FYFA16
1456,FYFA16
1507,FYFA16
1512,FYFA16
1536,FYFA16
1562,FYFA16
1568,FYFA16
1670,FYFA16
1688,FYFA16
1694,FYFA16
1704,FYFA16
1718,FYFA16
1731,FYFA16
1737,FYFA16
1796,FYFA16
1807,FYFA16
1831,FYFA16
1839,FYFA16
1860,FYFA16
1864,FYFA16
1877,FYFA16
1890,FYFA16
1932,FYFA16
1941,FYFA16
1998,FYFA16
2023,FYFA16
2043,FYFA16
2087,FYFA16
2100,FYFA16
2118,FYFA16
2121,FYFA16
2142,FYFA16
2159,FYFA16
2177,FYFA16
2192,FYFA16
2210,FYFA16
2217,FYFA16
2258,FYFA16
2355,FYFA16
2386,FYFA16
2412,FYFA16
2424,FYFA16
2427,FYFA16
2443,FYFA16
2445,FYFA16
2456,FYFA16
2476,FYFA16
2498,FYFA16
2507,FYFA16
2517,FYFA16
2535,FYFA16
2566,FYFA16
2638,FYFA16
2644,FYFA16
2645,FYFA16
2655,FYFA16
2693,FYFA16
2706,FYFA16
2725,FYFA16
2762,FYFA16
2765,FYFA16
2814,FYFA16
2825,FYFA16
2832,FYFA16
2846,FYFA16
2849,FYFA16
2905,FYFA16
2924,FYFA16
2929,FYFA16
2949,FYFA16
2952,FYFA16
2953,FYFA16
2954,FYFA16
2958,FYFA16
2960,FYFA16
2996,FYFA16
3040,FYFA16
3078,FYFA16
3150,FYFA16
3153,FYFA16
3164,FYFA16
3175,FYFA16
3191,FYFA16
3214,FYFA16
3222,FYFA16
3275,FYFA16
3311,FYFA16
3367,FYFA16
3376,FYFA16
3383,FYFA16
3391,FYFA16
3396,FYFA16
3429,FYFA16
3455,FYFA16
3495,FYFA16
3520,FYFA16
3534,FYFA16
3554,FYFA16
3555,FYFA16
3562,FYFA16
3589,FYFA16
3593,FYFA16
3604,FYFA16
3675,FYFA16
3700,FYFA16
3717,FYFA16
3725,FYFA16
3736,FYFA16
3742,FYFA16
3747,FYFA16
3749,FYFA16
3775,FYFA16
3821,FYFA16
3835,FYFA16
3840,FYFA16
3843,FYFA16
3854,FYFA16
3874,FYFA16
3880,FYFA16
3884,FYFA16
3887,FYFA16
3898,FYFA16
3901,FYFA16
3911,FYFA16
3914,FYFA16
3915,FYFA16
3946,FYFA16
3976,FYFA16
3989,FYFA16
4086,FYFA16
4095,FYFA16
4100,FYFA16
4130,FYFA16
4192,FYFA16
4226,FYFA16
4234,FYFA16
4254,FYFA16
4266,FYFA16
4272,FYFA16
4301,FYFA16
4305,FYFA16
4340,FYFA16
4343,FYFA16
4345,FYFA16
4358,FYFA16
4393,FYFA16
4438,FYFA16
4440,FYFA16
4449,FYFA16
4499,FYFA16
4542,FYFA16
4554,FYFA16
4562,FYFA16
4578,FYFA16
4603,FYFA16
4648,FYFA16
4653,FYFA16
4682,FYFA16
4698,FYFA16
4711,FYFA16
4732,FYFA16
4746,FYFA16
4773,FYFA16
4782,FYFA16
4813,FYFA16
4851,FYFA16
4853,FYFA16
4860,FYFA16
4897,FYFA16
