Random_ID,STU.MISC3
4923,FYFA16
4932,FYFA16
5002,FYFA16
5039,FYFA16
5049,FYFA16
5078,FYFA16
5087,FYFA16
5089,FYFA16
5106,FYFA16
5134,FYFA16
5143,FYFA16
5151,FYFA16
5171,FYFA16
5210,FYFA16
5222,FYFA16
5239,FYFA16
5263,FYFA16
5265,FYFA16
5272,FYFA16
5353,FYFA16
5406,FYFA16
5439,FYFA16
5472,FYFA16
5493,FYFA16
5533,FYFA16
5544,FYFA16
5570,FYFA16
5615,FYFA16
5630,FYFA16
5632,FYFA16
5649,FYFA16
5654,FYFA16
5662,FYFA16
5697,FYFA16
5716,FYFA16
5743,FYFA16
5768,FYFA16
5785,FYFA16
5823,FYFA16
5830,FYFA16
5864,FYFA16
5891,FYFA16
5901,FYFA16
5907,FYFA16
5930,FYFA16
5943,FYFA16
5971,FYFA16
5987,FYFA16
5988,FYFA16
6056,FYFA16
6065,FYFA16
6089,FYFA16
6100,FYFA16
6114,FYFA16
6117,FYFA16
6124,FYFA16
6138,FYFA16
6173,FYFA16
6191,FYFA16
6205,FYFA16
6228,FYFA16
6243,FYFA16
6249,FYFA16
6267,FYFA16
6316,FYFA16
6327,FYFA16
6332,FYFA16
6346,FYFA16
6357,FYFA16
6372,FYFA16
6373,FYFA16
6378,FYFA16
6381,FYFA16
6388,FYFA16
6393,FYFA16
6400,FYFA16
6401,FYFA16
6423,FYFA16
6462,FYFA16
6492,FYFA16
6511,FYFA16
6522,FYFA16
6523,FYFA16
6568,FYFA16
6657,FYFA16
6665,FYFA16
6697,FYFA16
6712,FYFA16
6734,FYFA16
6789,FYFA16
6793,FYFA16
6835,FYFA16
6838,FYFA16
