DateTimeStamp,Random_ID,AcadTerm,flg_NetDep,City,State,Gender,ACTcomp,SATcomp,Best_Test_ACT_Equivalent,HSGPA,Ath1,Ath2,Ath3,Religion
8/12/2016,5,16/FA,1,McHenry,IL,M,22,,22,3.056,SOCCER,,,Christian
8/12/2016,16,16/FA,0,La Vista,NE,M,20,,20,2.783,WRESTLING,,,
8/12/2016,19,16/FA,0,Dubuque,IA,M,,,,,WRESTLING,,,Other
8/12/2016,24,16/FA,0,Chicago,IL,F,20,,20,3.408,SOFTBALL,VOLLEYBALL,,
8/12/2016,27,16/FA,0,Baton Rouge,LA,F,20,,20,2.83,TRACK,CROSS COUNTRY,,Christian
8/12/2016,29,16/FA,0,Madison,WI,M,27,,27,3.53,BASKETBALL,,,Roman Catholic
8/12/2016,32,16/FA,0,Edwards,IL,F,22,,22,3.311,SOFTBALL,BASKETBALL,,Roman Catholic
8/12/2016,36,16/FA,1,Fort Atkinson,WI,F,27,,27,3.821,CROSS COUNTRY,TRACK,,Roman Catholic
8/12/2016,46,16/FA,0,Chicago,IL,M,,,,2.03,BASEBALL,BASKETBALL,,Roman Catholic
8/12/2016,53,16/FA,0,Oak Lawn,IL,M,24,,24,3.192,,,,Roman Catholic
8/12/2016,55,16/FA,1,Evanston,IL,M,28,,28,3.08,SOCCER,,,Roman Catholic
8/12/2016,56,16/FA,0,Shannon,IL,F,31,,31,4,TRACK,,,Lutheran
8/12/2016,64,16/FA,0,Beloit,WI,F,24,,24,3.96,,,,
8/12/2016,65,16/FA,0,Hawthorn Woods,IL,M,29,,29,4,BASKETBALL,,,
8/12/2016,66,16/FA,1,Spring Green,WI,F,21,,21,3.6,BASKETBALL,VOLLEYBALL,SOFTBALL,
8/12/2016,67,16/FA,0,Belvidere,IL,M,22,,22,3,FOOTBALL,BASEBALL,BASKETBALL,Christian
8/12/2016,82,16/FA,1,Palo,IA,M,23,,23,3.75,TENNIS,,,Roman Catholic
8/12/2016,84,16/FA,0,Lake Zurich,IL,M,,,,,SOCCER,,,Jewish
8/12/2016,87,16/FA,0,Chicago,IL,M,,,,,BASEBALL,BASKETBALL,,
8/12/2016,95,16/FA,0,Greeley,IA,F,,,,2.339,SOFTBALL,,,
8/12/2016,108,16/FA,0,Indianola,IA,F,,,,,,,,Christian
8/12/2016,109,16/FA,1,Rockford,IL,F,24,,24,3.52,TRACK,,,Christian
8/12/2016,118,16/FA,1,Northbrook,IL,F,17,,17,2.58,SOFTBALL,BASKETBALL,,Roman Catholic
8/12/2016,121,16/FA,0,Tipton,IA,M,27,,27,3.44,GOLF,BASEBALL,FOOTBALL,Roman Catholic
8/12/2016,129,16/FA,1,Waterloo,IA,M,19,,19,2.87,FOOTBALL,,,
8/12/2016,133,16/FA,1,Tinley Park,IL,M,30,,30,3.8,GOLF,TRACK,,
8/12/2016,137,16/FA,0,Manitowoc,WI,M,25,,25,,BASKETBALL,,,Roman Catholic
8/12/2016,138,16/FA,0,Arlington Heights,IL,F,26,,26,3.656,VOLLEYBALL,,,Roman Catholic
8/12/2016,139,16/FA,0,Chicago,IL,F,,,,,CHEERLEADER,,,
8/12/2016,140,16/FA,0,Waukegan,IL,F,19,,19,3.33,,,,Christian
8/12/2016,144,16/FA,1,Aledo,IL,F,20,,20,3.68,CROSS COUNTRY,TRACK,,
8/12/2016,145,16/FA,1,Calmar,IA,F,33,,33,3.99,CHEERLEADER,TRACK,,Roman Catholic
8/12/2016,152,16/FA,1,Apple River,IL,M,23,,23,3.31,FOOTBALL,BASEBALL,BASKETBALL,Roman Catholic
8/12/2016,154,16/FA,0,Grimes,IA,F,24,,24,3.831,SOCCER,,,Roman Catholic
8/12/2016,161,16/FA,0,Oak Forest,IL,M,24,,24,4,BASKETBALL,FOOTBALL,TRACK,Roman Catholic
8/12/2016,168,16/FA,0,Crystal Lake,IL,F,23,,23,3.915,SOFTBALL,VOLLEYBALL,,Roman Catholic
8/12/2016,169,16/FA,0,Mc Gregor,IA,M,21,,21,,FOOTBALL,,,
8/12/2016,170,16/FA,0,Chicago,IL,F,20,,20,2.94,,,,Protestant
8/12/2016,188,16/FA,0,Leavenworth,KS,F,,,,,SOFTBALL,SOCCER,,Agnostic
8/12/2016,190,16/FA,1,Chicago Heights,IL,F,23,,23,3.18,SOFTBALL,,,Roman Catholic
8/12/2016,194,16/FA,1,Mount Morris,IL,M,27,,27,3.9,GOLF,,,Lutheran
8/12/2016,195,16/FA,0,Rockton,IL,M,20,,20,2.708,SOCCER,,,Roman Catholic
8/12/2016,204,16/FA,0,Knoxville,IL,F,25,,25,3.881,BASKETBALL,VOLLEYBALL,SOFTBALL,Roman Catholic
8/12/2016,207,16/FA,0,Oklahoma City,OK,M,30,,30,4,TENNIS,,,Roman Catholic
8/12/2016,210,16/FA,1,Dubuque,IA,F,19,,19,4,CROSS COUNTRY,,,Roman Catholic
8/12/2016,213,16/FA,1,North Barrington,IL,M,19,,19,2.63,CROSS COUNTRY,,,Roman Catholic
8/12/2016,216,16/FA,0,Bishkek,,M,,,,,,,,
8/12/2016,219,16/FA,0,Chicago,IL,M,18,,18,2.36,FOOTBALL,,,Roman Catholic
8/12/2016,223,16/FA,0,Batavia,IL,M,27,,27,3.532,SOCCER,,,Other
8/12/2016,229,16/FA,1,Yorkville,IL,F,18,,18,3.389,SOFTBALL,,,Roman Catholic
8/12/2016,242,16/FA,0,"Kumasi, Ghana",,M,,,,,SOCCER,,,Methodist
8/12/2016,243,16/FA,0,Tinley Park,IL,M,22,,22,3.46,CROSS COUNTRY,,,Roman Catholic
8/12/2016,249,16/FA,0,New Lenox,IL,M,22,,22,2.92,WRESTLING,FOOTBALL,BASEBALL,
8/12/2016,250,16/FA,0,Chicago,IL,F,29,,29,3.745,LACROSSE,,,
8/12/2016,255,16/FA,0,Northlake,IL,M,25,,25,3.589,,,,Christian
8/12/2016,256,16/FA,0,Waterloo,IA,F,23,,23,3.66,,,,Christian
8/12/2016,258,16/FA,0,Belle Plaine,IA,M,23,,23,3.14,BASKETBALL,FOOTBALL,TRACK,Agnostic
8/12/2016,260,16/FA,0,Village of Lakewood,IL,M,,,,,WRESTLING,,,Roman Catholic
8/12/2016,261,16/FA,0,Mexico City,,M,,,,,FOOTBALL,SOCCER,SWIMMING,Roman Catholic
8/12/2016,268,16/FA,0,Elburn,IL,M,30,,30,3.471,,,,Roman Catholic
8/12/2016,270,16/FA,1,Hampshire,IL,M,23,,23,3.44,BASKETBALL,,,Methodist
8/12/2016,275,16/FA,0,Westmont,IL,F,12,,12,2.205,BASKETBALL,,,
8/12/2016,281,16/FA,1,Palos Heights,IL,M,22,,22,3.525,BASEBALL,BASKETBALL,GOLF,Roman Catholic
8/12/2016,294,16/FA,0,Washington,IA,M,20,,20,3.82,FOOTBALL,,,Roman Catholic
8/12/2016,297,16/FA,0,Robins,IA,F,22,,22,3.84,CROSS COUNTRY,,,Roman Catholic
8/12/2016,302,16/FA,0,Arvada,CO,M,,,,,BASEBALL,,,Christian
8/12/2016,309,16/FA,0,Loveland,CO,M,,,,,SWIMMING,,,Lutheran
8/12/2016,310,16/FA,1,Naperville,IL,F,21,,21,3.51,,,,Christian
8/12/2016,324,16/FA,0,Waterloo,IA,F,17,,17,3.404,GOLF,,,Roman Catholic
8/12/2016,330,16/FA,0,Palos Heights,IL,M,,,,2.52,WRESTLING,,,Roman Catholic
8/12/2016,332,16/FA,0,Warrenville,IL,F,26,,26,,SOFTBALL,,,
8/12/2016,338,16/FA,0,Ankeny,IA,M,19,,19,,BASEBALL,FOOTBALL,,Roman Catholic
8/12/2016,341,16/FA,0,Eldridge,IA,F,18,,18,3.44,CROSS COUNTRY,TRACK,,
8/12/2016,343,16/FA,0,Cedar Rapids,IA,M,,,,,SOCCER,,,Christian
8/12/2016,344,16/FA,0,Wilmette,IL,M,14,,14,2.96,CROSS COUNTRY,,,Roman Catholic
8/12/2016,345,16/FA,0,Rosemont,IL,M,20,,20,2.4,FOOTBALL,TRACK,,Lutheran
8/12/2016,351,16/FA,0,Evergreen Park,IL,M,22,,22,2.15,BASEBALL,GOLF,,Roman Catholic
8/12/2016,361,16/FA,0,Zion,IL,M,17,,17,2.97,FOOTBALL,BASKETBALL,,
8/12/2016,365,16/FA,0,Waukegan,IL,F,20,,20,2.91,,,,Other
8/12/2016,370,16/FA,0,Glen Ellyn,IL,M,26,,26,3.46,SOCCER,,,Roman Catholic
8/12/2016,371,16/FA,0,Colona,IL,F,22,,22,3.242,CHEERLEADER,SOCCER,,Christian
